,Construct,Name,OK_seq
b1G4,pTF1.61c-.r18.35L20,61c-r18.35L20,yes
b1G5,pTF1.61c-.r18.35L21,61c-r18.35L21,yes
b1G6,pTF1.61c-.r18.35L22,61c-r18.35L22,yes
b1G7,pTF1.61c-.r18.35L23,61c-r18.35L23,yes
b1G8,pTF1.61c-.r18.35L24,61c-r18.35L24,yes
b1G9,pTF1.c61.r18.35Lp1,c61r18.35pool,no
b1H1,pTF1.c61.r18.35Lp2,c61r18.35pool,no
b1H2,pTF1.61c-.r18.35Lp1,61c-r18.35pool,no
b1H3,pTF1.61c-.r18.35Lp2,61c-r18.35pool,no
b1H4,pTF1.c71.r18.35Lp1,c71r18.35pool,no
b1H5,pTF1.c71.r18.35Lp2,c71r18.35pool,no
b1H6,pTF1.71c-.r18.A,71c-r18,unknown
b1H7,pTF1.71c-.r18.B,71c-r18,unknown
b1H8,pTF1.71c-.r18.C,71c-r18,yes
b1H9,pTF1.71c-.r18.D,71c-r18,yes
b1I1,pTF1.c71.r18.A,c71r18,unknown
b1I2,pTF1.c71.r18.B,c71r18,unknown
b1I3,pTF1.c71.r18.C,c71r18,yes
b1I4,pTF1.c71.r18.D,c71r18,yes
b1I5,pTF1.c71.r18L35.01,c71r18.35L01,no
b1I6,pTF1.c71.r18L35.02,c71r18.35L02,no
b1I7,pTF1.c71.r18L35.03,c71r18.35L03,no
b1I8,pTF1.c71.r18L35.04,c71r18.35L04,yes
b1I9,pTF1.c71.r18L35.05,c71r18.35L05,no
b2A1,pTF1.c71.r18L35.06,c71r18.35L06,yes
b2A2,pTF1.c71.r18L35.07,c71r18.35L07,yes
b2A3,pTF1.c71.r18L35.08,c71r18.35L08,no
b2A4,pTF1.c71.r18L35.09,c71r18.35L09,yes
b2A5,pTF1.c71.r18L35.10,c71r18.35L10,yes
b2A6,pTF1.c71.r18L35.11,c71r18.35L11,yes
b2A7,pTF1.c71.r18L35.12,c71r18.35L12,yes
b2A8,pTF1.c71.r18L35.13,c71r18.35L13,yes
b2A9,pTF1.c71.r18L35.14,c71r18.35L14,yes
b2B1,pTF1.c71.r18L35.15,c71r18.35L15,yes
b2B2,pTF1.c71.r18L35.16,c71r18.35L16,yes
b2B3,pTF1.c71.r18L35.17,c71r18.35L17,no
b2B4,pTF1.c71.r18L35.18,c71r18.35L18,yes
b2B5,pTF1.c71.r18L35.19,c71r18.35L19,yes
b2B6,pTF1.c71.r18L35.20,c71r18.35L20,yes
b2B7,pTF1.c71.r18L35.21,c71r18.35L21,yes
b2B8,pTF1.c71.r18L35.22,c71r18.35L22,no
b2B9,pTF1.c71.r18L35.23,c71r18.35L23,yes
b2C1,pTF1.c71.r18L35.24,c71r18.35L24,no
b2C2,pTF1.c61.r18.10Lp1,c61r18.10pool,no
b2C3,pTF1.c61.r18.10Lp2,c61r18.10pool,no
b2C4,pTF1.c71.r18.10Lp1,c71r18.10pool,no
b2C5,pTF1.c71.r18.10Lp2,c71r18.10pool,no
b2C6,pTF1.c61.r18L10.01,c61r18.10L01,yes
b2C7,pTF1.c61.r18L10.02,c61r18.10L02,yes
b2C8,pTF1.c61.r18L10.03,c61r18.10L03,yes
b2C9,pTF1.c61.r18L10.04,c61r18.10L04,yes
b2D1,pTF1.c61.r18L10.05,c61r18.10L05,yes
b2D2,pTF1.c61.r18L10.06,c61r18.10L06,yes
b2D3,pTF1.c61.r18L10.07,c61r18.10L07,yes
b2D4,pTF1.c61.r18L10.08,c61r18.10L08,yes
b2D5,pTF1.c61.r18L10.09,c61r18.10L09,yes
b2D6,pTF1.c61.r18L10.10,c61r18.10L10,yes
b2D7,pTF1.c61.r18L10.11,c61r18.10L11,yes
b2D8,pTF1.c61.r18L10.12,c61r18.10L12,yes
b2D9,pTF1.c61.r18L10.13,c61r18.10L13,yes
b2E1,pTF1.c61.r18L10.14,c61r18.10L14,yes
b2E2,pTF1.c61.r18L10.15,c61r18.10L15,yes
b2E3,pTF1.c61.r18L10.16,c61r18.10L16,yes
b2E4,pTF1.c61.r18L10.17,c61r18.10L17,yes
b2E5,pTF1.c61.r18L10.18,c61r18.10L18,no
b2E6,pTF1.c61.r18L10.19,c61r18.10L19,yes
b2E7,pTF1.c61.r18L10.20,c61r18.10L20,yes
b2E8,pTF1.c61.r18L10.21,c61r18.10L21,yes
b2E9,pTF1.c61.r18L10.22,c61r18.10L22,yes
b2F1,pTF1.c61.r18L10.23,c61r18.10L23,yes
b2F2,pTF1.c61.r18L10.24,c61r18.10L24,yes
b2F3,pTF1.c71.r18L10.01,c71r18.10L01,yes
b2F4,pTF1.c71.r18L10.02,c71r18.10L02,yes
b2F5,pTF1.c71.r18L10.03,c71r18.10L03,yes
b2F6,pTF1.c71.r18L10.04,c71r18.10L04,yes
b2F7,pTF1.c71.r18L10.05,c71r18.10L05,yes
b2F8,pTF1.c71.r18L10.06,c71r18.10L06,yes
b2F9,pTF1.c71.r18L10.07,c71r18.10L07,yes
b2G1,pTF1.c71.r18L10.08,c71r18.10L08,no
b2G2,pTF1.c71.r18L10.09,c71r18.10L09,yes
b2G3,pTF1.c71.r18L10.10,c71r18.10L10,yes
b2G4,pTF1.c71.r18L10.11,c71r18.10L11,yes
b2G5,pTF1.c71.r18L10.12,c71r18.10L12,yes
b2G6,pTF1.c71.r18L10.13,c71r18.10L13,yes
b2G7,pTF1.c71.r18L10.14,c71r18.10L14,yes
b2G8,pTF1.c71.r18L10.15,c71r18.10L15,yes
b2G9,pTF1.c71.r18L10.16,c71r18.10L16,no
b2H1,pTF1.c71.r18L10.17,c71r18.10L17,yes
b2H2,pTF1.c71.r18L10.18,c71r18.10L18,no
b2H3,pTF1.c71.r18L10.19,c71r18.10L19,yes
b2H4,pTF1.c71.r18L10.20,c71r18.10L20,yes
b2H5,pTF1.c71.r18L10.21,c71r18.10L21,yes
b2H6,pTF1.c71.r18L10.22,c71r18.10L22,no
b2H7,pTF1.c71.r18L10.23,c71r18.10L23,yes
b2H8,pTF1.c71.r18L10.24,c71r18.10L24,yes
b2H9,neg.cont.10L1,neg,no
b2I1,neg.cont.10L2,neg,no
b2I2,pTF1.c61.r18.n10a1,c61r18.n10a,no
b2I3,pTF1.c61.r18.n10a2,c61r18.n10a,unknown
b2I4,pTF1.c61.r18.n10b1,c61r18.n10b,yes
b2I5,pTF1.c61.r18.n10b2,c61r18.n10b,unknown
b2I6,pTF1.c61.r17.n10a1,c61r17.n10a,no
b2I7,pTF1.c61.r17.n10a2,c61r17.n10a,unknown
b2I8,pTF1.c61.r17.n10b1,c61r17.n10b,yes
b2I9,pTF1.c61.r17.n10b2,c61r17.n10b,unknown
b3A1,pTF1.c61.r16.n10a1,c61r16.n10a,yes
b3A2,pTF1.c61.r16.n10a2,c61r16.n10a,unknown
b3A3,pTF1.c61.r16.n10b1,c61r16.n10b,yes
b3A4,pTF1.c61.r16.n10b2,c61r16.n10b,unknown
b3A5,pTF1.61c-.r18.n10a1,61c-r18.n10a,yes
b3A6,pTF1.61c-.r18.n10a2,61c-r18.n10a,unknown
b3A7,pTF1.61c-.r18.n10b1,61c-r18.n10b,yes
b3A8,pTF1.61c-.r18.n10b2,61c-r18.n10b,unknown
b3A9,pTF1.61c-.r17.n10a1,61c-r17.n10a,yes
