,Construct,Name,OK_seq
DJa13,pJK48.c61.r18.L10.13,DJ.c61.L10.13,yes
DJa14,pJK48.c61.r18.L10.14,DJ.c61.L10.14,yes
DJa15,pJK48.c61.r18.L10.15,DJ.c61.L10.15,yes
DJa16,pJK48.c61.r18.L10.16,DJ.c61.L10.16,yes
DJa17,pJK48.c61.r18.L10.17,DJ.c61.L10.17,yes
DJa18,pJK48.c61.r18.L10.18,DJ.c61.L10.18,yes
DJa19,pJK48.c61.r18.L10.19,DJ.c61.L10.19,yes
DJa20,pJK48.c61.r18.L10.20,DJ.c61.L10.20,yes
DJa21,pJK48.c61.r18.L10.21,DJ.c61.L10.21,yes
DJa22,pJK48.c61.r18.L10.22,DJ.c61.L10.22,yes
DJa23,pJK48.c61.r18.L10.23,DJ.c61.L10.23,yes
DJa24,pJK48.c61.r18.L10.24,DJ.c61.L10.24,yes
DJb01,pJK48.c61.r18.L35.01,DJ.c61.L35.01,yes
DJb02,pJK48.c61.r18.L35.02,DJ.c61.L35.02,yes
DJb03,pJK48.c61.r18.L35.03,DJ.c61.L35.03,yes
DJb04,pJK48.c61.r18.L35.04,DJ.c61.L35.04,yes
DJb05,pJK48.c61.r18.L35.05,DJ.c61.L35.05,no
DJb06,pJK48.c61.r18.L35.06,DJ.c61.L35.06,yes
DJb07,pJK48.c61.r18.L35.07,DJ.c61.L35.07,yes
DJb08,pJK48.c61.r18.L35.08,DJ.c61.L35.08,yes
DJb09,pJK48.c61.r18.L35.09,DJ.c61.L35.09,yes
DJb10,pJK48.c61.r18.L35.10,DJ.c61.L35.10,no
DJb11,pJK48.c61.r18.L35.11,DJ.c61.L35.11,yes
DJb12,pJK48.c61.r18.L35.12,DJ.c61.L35.12,yes
DJb13,pJK48.c61.r18.L35.13,DJ.c61.L35.13,no
DJb14,pJK48.c61.r18.L35.14,DJ.c61.L35.14,yes
DJb15,pJK48.c61.r18.L35.15,DJ.c61.L35.15,yes
DJb16,pJK48.c61.r18.L35.16,DJ.c61.L35.16,yes
DJb17,pJK48.c61.r18.L35.17,DJ.c61.L35.17,yes
DJb18,pJK48.c61.r18.L35.18,DJ.c61.L35.18,yes
DJb19,pJK48.c61.r18.L35.19,DJ.c61.L35.19,no
DJb20,pJK48.c61.r18.L35.20,DJ.c61.L35.20,yes
DJb21,pJK48.c61.r18.L35.21,DJ.c61.L35.21,yes
DJb22,pJK48.c61.r18.L35.22,DJ.c61.L35.22,yes
DJb23,pJK48.c61.r18.L35.23,DJ.c61.L35.23,yes
DJb24,pJK48.c61.r18.L35.24,DJ.c61.L35.24,yes
b6A1,pWI.crpmini.L08,crpmini.L08,unknown
b6A2,pWI.crpmini.L09,crpmini.L09,unknown
b6A3,pWI.crpmini.L10,crpmini.L10,unknown
b6A4,pWI.crpmini.L11,crpmini.L11,unknown
b6A5,pWI.crpmini.L12,crpmini.L12,unknown
b6A6,pTF1.c61r18.bcA,c61.bcA,yes
b6A7,pTF1.c61r18.bcB,c61.bcB,yes
b6A8,pTF1.61c-r18.bcA,61c-.bcA,yes
b6A9,pTF1.61c-r18.bcB,61c-.bcB,yes
b6B1,pTF1.c61.35L06.bcA,35L06.bcA,yes
b6B2,pTF1.c61.35L06.bcB,35L06.bcB,yes
b6B3,pTF1.c61.35L11.bcA,35L11.bcA,yes
b6B4,pTF1.c61.35L11.bcB,35L11.bcB,yes
b6B5,pTF1.c61.35L12.bcA,35L12.bcA,no
b6B6,pTF1.c61.35L12.bcB,35L12.bcB,yes
b6B7,pTF1.c61.35L15.bcA,35L15.bcA,yes
b6B8,pTF1.c61.35L15.bcB,35L15.bcB,yes
b6B9,pTF1.c61.35L16.bcA,35L16.bcA,yes
b6C1,pTF1.c61.35L16.bcB,35L16.bcB,yes
b6C2,pTF1.c61.35L24.bcA,35L24.bcA,yes
b6C3,pTF1.c61.35L24.bcA,35L24.bcA,yes
b6C4,pTF1.c61.10L02.bcA,10L02.bcA,yes
b6C5,pTF1.c61.10L02.bcB,10L02.bcB,yes
b6C6,pTF1.c61.10L05.bcA,10L05.bcA,yes
b6C7,pTF1.c61.10L05.bcB,10L05.bcB,yes
b6C8,pTF1.c61.10L10.bcA,10L10.bcA,yes
b6C9,pTF1.c61.10L10.bcB,10L10.bcB,yes
b6D1,pTF1.c61.10L11.bcA,10L11.bcA,no
b6D2,pTF1.c61.10L11.bcB,10L11.bcB,unknown
b6D3,pTF1.c61.10L19.bcA,10L19.bcA,yes
b6D4,pTF1.c61.10L19.bcB,10L19.bcB,yes
b6D5,pTF1.c61.10L21.bcA,10L21.bcA,yes
b6D6,pTF1.c61.10L21.bcB,10L21.bcB,yes
b6D7,pTF3.c61r18.bcA,c61.bcA,yes
b6D8,pTF3.c61r18.bcB,c61.bcB,no
b6D9,pTF3.61c-r18.bcA,61c-.bcA,yes
b6E1,pTF3.61c-r18.bcB,61c-.bcB,yes
b6E2,pTF3.c61.35L06.bcA,35L06.bcA,yes
b6E3,pTF3.c61.35L06.bcB,35L06.bcB,yes
b6E4,pTF3.c61.35L11.bcA,35L11.bcA,yes
b6E5,pTF3.c61.35L11.bcB,35L11.bcB,yes
b6E6,pTF3.c61.35L12.bcA,35L12.bcA,yes
b6E7,pTF3.c61.35L12.bcB,35L12.bcB,yes
b6E8,pTF3.c61.35L15.bcA,35L15.bcA,yes
b6E9,pTF3.c61.35L15.bcB,35L15.bcB,yes
b6F1,pTF3.c61.35L16.bcA,35L16.bcA,yes
b6F2,pTF3.c61.35L16.bcB,35L16.bcB,yes
b6F3,pTF3.c61.35L24.bcA,35L24.bcA,yes
b6F4,pTF3.c61.35L24.bcB,35L24.bcA,yes
b6F5,pTF3.c61.10L02.bcA,10L02.bcA,yes
b6F6,pTF3.c61.10L02.bcB,10L02.bcB,yes
b6F7,pTF3.c61.10L05.bcA,10L05.bcA,yes
b6F8,pTF3.c61.10L05.bcB,10L05.bcB,no
b6F9,pTF3.c61.10L10.bcA,10L10.bcA,yes
b6G1,pTF3.c61.10L10.bcB,10L10.bcB,yes
b6G2,pTF3.c61.10L11.bcA,10L11.bcA,unknown
b6G3,pTF3.c61.10L11.bcB,10L11.bcB,unknown
b6G4,pTF3.c61.10L19.bcA,10L19.bcA,yes
b6G5,pTF3.c61.10L19.bcB,10L19.bcB,yes
b6G6,pTF3.c61.10L21.bcA,10L21.bcA,yes
b6G7,pTF3.c61.10L21.bcB,10L21.bcB,yes
b6G8,pJK1.A,pJK1A,yes
b6G9,pJK1.B,pJK1B,yes
b6H1,pJK1.C,pJK1C,yes
b6H2,pTF1.c61.35LbcpoolA,c61.-35bcA,unknown
b6H3,pTF1.c61.35LbcpoolB,c61.-35bcB,unknown
b6H4,pTF1.c61.35LbcpoolC,c61.-35bcC,unknown
b6H5,pTF1.c61.10LbcpoolA,c61.-10bcA,unknown
b6H6,pTF1.c61.10LbcpoolB,c61.-10bcB,unknown
b6H7,pTF1.c61.10LbcpoolC,c61.-10bcC,unknown
b6H8,pTF3.c61.35LbcpoolA,c61.-35bcA,unknown
b6H9,pTF3.c61.35LbcpoolB,c61.-35bcB,unknown
b6I1,pTF3.c61.35LbcpoolC,c61.-35bcC,unknown
b6I2,pTF3.c61.10LbcpoolA,c61.-10bcA,unknown
b6I3,pTF3.c61.10LbcpoolB,c61.-10bcB,unknown
b6I4,pTF3.c61.10LbcpoolC,c61.-10bcC,unknown
b6I5,pTF1.c61r18.bcC,c61.bcC,yes
b6I6,pTF1.c61r18.bcD,c61.bcD,yes
b6I7,pTF1.c61r18.bcE,c61.bcE,yes
b6I8,pTF1.c61r18.bcF,c61.bcF,yes
b6I9,pTF1.c61r18.bcG,c61.bcG,yes
b7A1,pTF1.c61r18.bcH,c61.bcH,yes
b7A2,pTF1.c61r18.bcI,c61.bcI,yes
b7A3,pTF1.c61r18.bcJ,c61.bcJ,yes
b7A4,pTF1.c61r18.bcK,c61.bcK,yes
b7A5,pTF1.c61r18.bcL,c61.bcL,yes
b7A6,pTF1.c61r18.bcM,c61.bcM,yes
b7A7,pTF1.c61r18.bcN,c61.bcN,yes
b7A8,pTF1.c61r18.bcO,c61.bcO,unknown
b7A9,pTF1.c61r18.bcP,c61.bcP,yes
b7B1,pTF1.c61r18.bcQ,c61.bcQ,yes
b7B2,pTF1.c61r18.bcR,c61.bcR,yes
b7B3,pTF1.c61r18.bcS,c61.bcS,yes
b7B4,pTF1.c61r18.bcT,c61.bcT,yes
b7B5,pTF1.c61r18.bcU,c61.bcU,no
b7B6,pTF1.c61r18.bcV,c61.bcV,yes
b7B7,pTF3.c61r18.bcC,c61.bcC,yes
b7B8,pTF3.c61r18.bcD,c61.bcD,yes
b7B9,pTF3.c61r18.bcE,c61.bcE,yes
b7C1,pTF3.c61r18.bcF,c61.bcF,yes
b7C2,pTF3.c61r18.bcG,c61.bcG,yes
b7C3,pTF3.c61r18.bcH,c61.bcH,yes
b7C4,pTF3.c61r18.bcI,c61.bcI,yes
b7C5,pTF3.c61r18.bcJ,c61.bcJ,yes
b7C6,pTF3.c61r18.bcK,c61.bcK,yes
b7C7,pTF3.c61r18.bcL,c61.bcL,yes
b7C8,pTF3.c61r18.bcM,c61.bcM,yes
b7C9,pTF3.c61r18.bcN,c61.bcN,yes
b7D1,pTF3.c61r18.bcO,c61.bcO,yes
b7D2,pTF3.c61r18.bcP,c61.bcP,yes
b7D3,pTF3.c61r18.bcQ,c61.bcQ,yes
b7D4,pTF3.c61r18.bcR,c61.bcR,yes
b7D5,pTF3.c61r18.bcS,c61.bcS,yes
b7D6,pTF3.c61r18.bcT,c61.bcT,yes
b7D7,pTF3.c61r18.bcU,c61.bcU,yes
b7D8,pTF1.c60.r18L10.01,c60r18.10L01,yes
b7D9,pTF1.c60.r18L10.02,c60r18.10L02,yes
b7E1,pTF1.c60.r18L10.03,c60r18.10L03,yes
b7E2,pTF1.c60.r18L10.04,c60r18.10L04,yes
b7E3,pTF1.c60.r18L10.05,c60r18.10L05,yes
b7E4,pTF1.c60.r18L10.06,c60r18.10L06,yes
b7E5,pTF1.c60.r18L10.07,c60r18.10L07,yes
b7E6,pTF1.c60.r18L10.08,c60r18.10L08,yes
b7E7,pTF1.c60.r18L10.09,c60r18.10L09,yes
b7E8,pTF1.c60.r18L10.10,c60r18.10L10,yes
b7E9,pTF1.c60.r18L10.11,c60r18.10L11,yes
b7F1,pTF1.c60.r18L10.12,c60r18.10L12,yes
b7F2,pTF1.c60.r18L10.13,c60r18.10L13,yes
b7F3,pTF1.c60.r18L10.14,c60r18.10L14,yes
b7F4,pTF1.c60.r18L10.15,c60r18.10L15,no
b7F5,pTF1.c60.r18L10.16,c60r18.10L16,no
b7F6,pTF1.c60.r18L10.17,c60r18.10L17,yes
b7F7,pTF1.c60.r18L10.18,c60r18.10L18,yes
b7F8,pTF1.c60.r18L10.19,c60r18.10L19,yes
b7F9,pTF1.c60.r18L10.20,c60r18.10L20,no
b7G1,pTF1.c60.r18L10.21,c60r18.10L21,yes
b7G2,pTF1.c60.r18L10.22,c60r18.10L22,yes
b7G3,pTF1.c60.r18L10.23,c60r18.10L23,yes
b7G4,pTF1.c60.r18L10.24,c60r18.10L24,no
b7G5,pTF1.c62.r18L10.01,c62r18.10L01,yes
b7G6,pTF1.c62.r18L10.02,c62r18.10L02,yes
b7G7,pTF1.c62.r18L10.03,c62r18.10L03,yes
b7G8,pTF1.c62.r18L10.04,c62r18.10L04,yes
b7G9,pTF1.c62.r18L10.05,c62r18.10L05,yes
b7H1,pTF1.c62.r18L10.06,c62r18.10L06,yes
b7H2,pTF1.c62.r18L10.07,c62r18.10L07,yes
b7H3,pTF1.c62.r18L10.08,c62r18.10L08,yes
b7H4,pTF1.c62.r18L10.09,c62r18.10L09,yes
b7H5,pTF1.c62.r18L10.10,c62r18.10L10,yes
b7H6,pTF1.c62.r18L10.11,c62r18.10L11,yes
b7H7,pTF1.c62.r18L10.12,c62r18.10L12,yes
b7H8,pTF1.c62.r18L10.13,c62r18.10L13,yes
b7H9,pTF1.c62.r18L10.14,c62r18.10L14,yes
b7I1,pTF1.c62.r18L10.15,c62r18.10L15,yes
b7I2,pTF1.c62.r18L10.16,c62r18.10L16,yes
b7I3,pTF1.c62.r18L10.17,c62r18.10L17,yes
b7I4,pTF1.c62.r18L10.18,c62r18.10L18,yes
b7I5,pTF1.c62.r18L10.19,c62r18.10L19,yes
b7I6,pTF1.c62.r18L10.20,c62r18.10L20,no
b7I7,pTF1.c62.r18L10.21,c62r18.10L21,yes
b7I8,pTF1.c62.r18L10.22,c62r18.10L22,yes
b7I9,pTF1.c62.r18L10.23,c62r18.10L23,yes
b8A1,pTF1.c62.r18L10.24,c62r18.10L24,no
b8A2,pTF1.c81.r18L10.01,c81r18.10L01,yes
b8A3,pTF1.c81.r18L10.02,c81r18.10L02,unknown
b8A4,pTF1.c81.r18L10.03,c81r18.10L03,yes
b8A5,pTF1.c81.r18L10.04,c81r18.10L04,unknown
b8A6,pTF1.c81.r18L10.05,c81r18.10L05,yes
b8A7,pTF1.c81.r18L10.06,c81r18.10L06,yes
b8A8,pTF1.c81.r18L10.07,c81r18.10L07,yes
b8A9,pTF1.c81.r18L10.08,c81r18.10L08,yes
b8B1,pTF1.c81.r18L10.09,c81r18.10L09,yes
b8B2,pTF1.c81.r18L10.10,c81r18.10L10,yes
b8B3,pTF1.c81.r18L10.11,c81r18.10L11,yes
b8B4,pTF1.c81.r18L10.12,c81r18.10L12,yes
b8B5,pTF1.c81.r18L10.13,c81r18.10L13,yes
b8B6,pTF1.c81.r18L10.14,c81r18.10L14,yes
b8B7,pTF1.c81.r18L10.15,c81r18.10L15,yes
b8B8,pTF1.c81.r18L10.16,c81r18.10L16,unknown
b8B9,pTF1.c81.r18L10.17,c81r18.10L17,yes
b8C1,pTF1.c81.r18L10.18,c81r18.10L18,yes
b8C2,pTF1.c81.r18L10.19,c81r18.10L19,yes
b8C3,pTF1.c81.r18L10.20,c81r18.10L20,yes
b8C4,pTF1.c81.r18L10.21,c81r18.10L21,unknown
b8C5,pTF1.c81.r18L10.22,c81r18.10L22,no
b8C6,pTF1.c81.r18L10.23,c81r18.10L23,yes
b8C7,pTF1.c81.r18L10.24,c81r18.10L24,yes
b8C8,pTF3.c61r18.A,c61r18,unknown
b8C9,pTF3.c61r18.B,c61r18,unknown
b8D1,pTF3.c61r18.C,c61r18,unknown
b8D2,pTF3.c61r18.D,c61r18,unknown
b8D3,pTF1.b1C2.bc0G1.A,rref01.bc0G1.A,unknown
b8D4,pTF1.b1C2.bc0G1.B,rref01.bc0G1.B,unknown
b8D5,pTF1.b1C7.bc0G1.A,rref02.bc0G1.A,unknown
b8D6,pTF1.b1C7.bc0G1.B,rref02.bc0G1.B,unknown
b8D7,pTF1.b1C8.bc0G1.A,rref03.bc0G1.A,unknown
b8D8,pTF1.b1C8.bc0G1.B,rref03.bc0G1.B,unknown
b8D9,pTF1.b1D2.bc0G1.A,rref04.bc0G1.A,unknown
b8E1,pTF1.b1D2.bc0G1.B,rref04.bc0G1.B,unknown
b8E2,pTF1.b1D3.bc0G1.A,rref05.bc0G1.A,unknown
b8E3,pTF1.b1D3.bc0G1.B,rref05.bc0G1.B,unknown
b8E4,pTF1.b1E2.bc0G1.A,rref06.bc0G1.A,unknown
b8E5,pTF1.b1E2.bc0G1.B,rref06.bc0G1.B,unknown
b8E6,pTF1.b2C7.bc0G1.A,rref07.bc0G1.A,unknown
b8E7,pTF1.b2C7.bc0G1.B,rref07.bc0G1.B,unknown
b8E8,pTF1.b2D1.bc0G1.A,rref08.bc0G1.A,unknown
b8E9,pTF1.b2D1.bc0G1.B,rref08.bc0G1.B,unknown
b8F1,pTF1.b2D6.bc0G1.A,rref09.bc0G1.A,unknown
b8F2,pTF1.b2D6.bc0G1.B,rref09.bc0G1.B,unknown
b8F3,pTF1.b2D7.bc0G1.A,rref10.bc0G1.A,unknown
b8F4,pTF1.b2D7.bc0G1.B,rref10.bc0G1.B,unknown
b8F5,pTF1.b2E6.bc0G1.A,rref11.bc0G1.A,unknown
b8F6,pTF1.b2E6.bc0G1.B,rref11.bc0G1.B,unknown
b8F7,pTF1.b2E8.bc0G1.A,rref12.bc0G1.A,unknown
b8F8,pTF1.b2E8.bc0G1.B,rref12.bc0G1.B,unknown
b8F9,pTF1.c61wt.bc8.A,c61wt.bc8.A,unknown
b8G1,pTF1.c61wt.bc8.B,c61wt.bc8.B,unknown
b8G2,pTF1.c61wt.bc8.C,c61wt.bc8.C,unknown
b8G3,pTF1.c61wt.bc8.D,c61wt.bc8.D,unknown
b8G4,pTF1.c61wt.bc8.E,c61wt.bc8.E,unknown
b8G5,pTF1.c61wt.bc8.F,c61wt.bc8.F,unknown
b8G6,pTF1.c61wt.bc8.G,c61wt.bc8.G,unknown
b8G7,pTF1.c61wt.bc8.H,c61wt.bc8.H,unknown
b8G8,pTF1.c61wt.bc8.I,c61wt.bc8.I,unknown
b8G9,pTF1.c61wt.bc8.J,c61wt.bc8.J,unknown
b8H1,pTF1.c61wt.bc8.K,c61wt.bc8.K,unknown
b8H2,pTF1.c61wt.bc0.A,c61wt.bc0.A,unknown
b8H3,pTF1.c61wt.bc0.B,c61wt.bc0.B,unknown
b8H4,pTF1.c61wt.bc0.C,c61wt.bc0.C,unknown
b8H5,pTF1.c61wt.bc0.D,c61wt.bc0.D,unknown
b8H6,pTF1.c61wt.bc0.E,c61wt.bc0.E,unknown
b8H7,pTF1.c61wt.bc0.F,c61wt.bc0.F,unknown
b8H8,pTF1.c61wt.bc0.G,c61wt.bc0.G,unknown
b8H9,pTF1.c61wt.bc0.H,c61wt.bc0.H,unknown
b8I1,pTF1.c61wt.bc0.I,c61wt.bc0.I,unknown
b8I2,pTF1.c61wt.bc0.J,c61wt.bc0.J,unknown
b8I3,pTF1.c61wt.bc0.K,c61wt.bc0.K,unknown
b8I4,pTF1.c61wt.bc0G1.A,c61wt.bc0G1.A,unknown
b8I5,pTF1.c61wt.bc0G1.B,c61wt.bc0G1.B,unknown
b8I6,pTF1.c61wt.bc0G1.C,c61wt.bc0G1.C,unknown
b8I7,pTF1.c61wt.bc0G1.D,c61wt.bc0G1.D,unknown
b8I8,pTF1.c61wt.bc0G1.E,c61wt.bc0G1.E,unknown
b8I9,pTF1.c61wt.bc0G1.F,c61wt.bc0G1.F,unknown
b9A1,pTF1.c61wt.bc0G1.G,c61wt.bc0G1.G,unknown
b9A2,pTF1.c61wt.bc0G1.H,c61wt.bc0G1.H,unknown
b9A3,pTF1.c61wt.bc0G1.I,c61wt.bc0G1.I,unknown
b9A4,pTF1.c61wt.bc0G1.J,c61wt.bc0G1.J,unknown
b9A5,pTF1.c61wt.bc0G1.K,c61wt.bc0G1.K,unknown
b9A6,pTF1.c61wt.bc0G2.A,c61wt.bc0G2.A,unknown
b9A7,pTF1.c61wt.bc0G2.B,c61wt.bc0G2.B,unknown
b9A8,pTF1.c61wt.bc0G2.C,c61wt.bc0G2.C,unknown
b9A9,pTF1.c61wt.bc0G2.D,c61wt.bc0G2.D,unknown
b9B1,pTF1.c61wt.bc0G2.E,c61wt.bc0G2.E,unknown
b9B2,pTF1.c61wt.bc0G2.F,c61wt.bc0G2.F,unknown
b9B3,pTF1.c61wt.bc0G2.G,c61wt.bc0G2.G,unknown
b9B4,pTF1.c61wt.bc0G2.H,c61wt.bc0G2.H,unknown
b9B5,pTF1.c61wt.bc0G2.I,c61wt.bc0G2.I,unknown
b9B6,pTF1.c61wt.bc0G2.J,c61wt.bc0G2.J,unknown
b9B7,pTF1.c61wt.bc0G2.K,c61wt.bc0G2.K,unknown
b9B8,pTF1.c61wt.bc0G3.A,c61wt.bc0G3.A,unknown
b9B9,pTF1.c61wt.bc0G3.B,c61wt.bc0G3.B,unknown
b9C1,pTF1.c61wt.bc0G3.C,c61wt.bc0G3.C,unknown
b9C2,pTF1.c61wt.bc0G3.D,c61wt.bc0G3.D,unknown
b9C3,pTF1.c61wt.bc0G3.E,c61wt.bc0G3.E,unknown
b9C4,pTF1.c61wt.bc0G3.F,c61wt.bc0G3.F,unknown
b9C5,pTF1.c61wt.bc0G3.G,c61wt.bc0G3.G,unknown
b9C6,pTF1.c61wt.bc0G3.H,c61wt.bc0G3.H,unknown
b9C7,pTF1.c61wt.bc0G3.I,c61wt.bc0G3.I,unknown
b9C8,pTF1.c61wt.bc0G3.J,c61wt.bc0G3.J,unknown
b9C9,pTF1.c61wt.bc0G3.K,c61wt.bc0G3.K,unknown
b9D1,pTF1.c63.r18L10.01,c63r18.10L01,yes
b9D2,pTF1.c63.r18L10.02,c63r18.10L02,yes
b9D3,pTF1.c63.r18L10.03,c63r18.10L03,yes
b9D4,pTF1.c63.r18L10.04,c63r18.10L04,yes
b9D5,pTF1.c63.r18L10.05,c63r18.10L05,yes
b9D6,pTF1.c63.r18L10.06,c63r18.10L06,yes
b9D7,pTF1.c63.r18L10.07,c63r18.10L07,no
b9D8,pTF1.c63.r18L10.08,c63r18.10L08,yes
b9D9,pTF1.c63.r18L10.09,c63r18.10L09,yes
b9E1,pTF1.c63.r18L10.10,c63r18.10L10,yes
b9E2,pTF1.c63.r18L10.11,c63r18.10L11,yes
b9E3,pTF1.c63.r18L10.12,c63r18.10L12,yes
b9E4,pTF1.c64.r18L10.01,c64r18.10L01,no
b9E5,pTF1.c64.r18L10.02,c64r18.10L02,yes
b9E6,pTF1.c64.r18L10.03,c64r18.10L03,no
b9E7,pTF1.c64.r18L10.04,c64r18.10L04,no
b9E8,pTF1.c64.r18L10.05,c64r18.10L05,unknown
b9E9,pTF1.c64.r18L10.06,c64r18.10L06,yes
b9F1,pTF1.c64.r18L10.07,c64r18.10L07,no
b9F2,pTF1.c64.r18L10.08,c64r18.10L08,unknown
b9F3,pTF1.c64.r18L10.09,c64r18.10L09,yes
b9F4,pTF1.c64.r18L10.10,c64r18.10L10,yes
b9F5,pTF1.c64.r18L10.11,c64r18.10L11,yes
b9F6,pTF1.c64.r18L10.12,c64r18.10L12,yes
b9F7,pTF1.c65.r18L10.01,c65r18.10L01,unknown
b9F8,pTF1.c65.r18L10.02,c65r18.10L02,unknown
b9F9,pTF1.c65.r18L10.03,c65r18.10L03,unknown
b9G1,pTF1.c65.r18L10.04,c65r18.10L04,unknown
b9G2,pTF1.c65.r18L10.05,c65r18.10L05,unknown
b9G3,pTF1.c65.r18L10.06,c65r18.10L06,unknown
b9G4,pTF1.c65.r18L10.07,c65r18.10L07,unknown
b9G5,pTF1.c65.r18L10.08,c65r18.10L08,unknown
b9G6,pTF1.c65.r18L10.09,c65r18.10L09,unknown
b9G7,pTF1.c65.r18L10.10,c65r18.10L10,unknown
b9G8,pTF1.c65.r18L10.11,c65r18.10L11,unknown
b9G9,pTF1.c65.r18L10.12,c65r18.10L12,unknown
b9H1,pTF1.c65.r18L10.13,c65r18.10L13,unknown
b9H2,pTF1.c65.r18L10.14,c65r18.10L14,unknown
b9H3,pTF1.c65.r18L10.15,c65r18.10L15,unknown
b9H4,pTF1.c65.r18L10.16,c65r18.10L16,unknown
b9H5,pTF1.c65.r18L10.17,c65r18.10L17,unknown
b9H6,pTF1.c65.r18L10.18,c65r18.10L18,unknown
b9H7,pTF1.c65.r18L10.19,c65r18.10L19,unknown
b9H8,pTF1.c65.r18L10.20,c65r18.10L20,unknown
b9H9,pTF1.c65.r18L10.21,c65r18.10L21,unknown
b9I1,pTF1.c65.r18L10.22,c65r18.10L22,unknown
b9I2,pTF1.c65.r18L10.23,c65r18.10L23,unknown
b9I3,pTF1.c65.r18L10.24,c65r18.10L24,unknown
b9I4,pTF1.c61wt.bc1.A,c61wt.bc1.A,unknown
b9I5,pTF1.c61wt.bc1.B,c61wt.bc1.B,unknown
b9I6,pTF1.c61wt.bc1.C,c61wt.bc1.C,unknown
b9I7,pTF1.c61wt.bc1.D,c61wt.bc1.D,unknown
b9I8,pTF1.c61wt.bc2.A,c61wt.bc2.A,yes
b9I9,pTF1.c61wt.bc2.B,c61wt.bc2.B,yes
b10A1,pTF1.c61wt.bc2.C,c61wt.bc2.C,yes
b10A2,pTF1.c61wt.bc2.D,c61wt.bc2.D,yes
b10A3,pTF1.c61wt.bc3.A,c61wt.bc3.A,unknown
b10A4,pTF1.c61wt.bc3.B,c61wt.bc3.B,unknown
b10A5,pTF1.c61wt.bc3.C,c61wt.bc3.C,unknown
b10A6,pTF1.c61wt.bc3.D,c61wt.bc3.D,unknown
b10A7,pTF1.c61wt.bc4.A,c61wt.bc4.A,unknown
b10A8,pTF1.c61wt.bc4.B,c61wt.bc4.B,unknown
b10A9,pTF1.c61wt.bc4.C,c61wt.bc4.C,unknown
b10B1,pTF1.c61wt.bc4.D,c61wt.bc4.D,unknown
b10B2,pTF1.c61wt.bc5.A,c61wt.bc5.A,unknown
b10B3,pTF1.c61wt.bc5.B,c61wt.bc5.B,unknown
b10B4,pTF1.c61wt.bc5.C,c61wt.bc5.C,unknown
b10B5,pTF1.c61wt.bc5.D,c61wt.bc5.D,unknown
b10B6,pTF1.c61wt.bc6.A,c61wt.bc6.A,unknown
b10B7,pTF1.c61wt.bc6.B,c61wt.bc6.B,unknown
b10B8,pTF1.c61wt.bc6.C,c61wt.bc6.C,unknown
b10B9,pTF1.c61wt.bc6.D,c61wt.bc6.D,unknown
b10C1,pTF1.c61wt.bc7.A,c61wt.bc7.A,unknown
b10C2,pTF1.c61wt.bc7.B,c61wt.bc7.B,unknown
b10C3,pTF1.c61wt.bc7.C,c61wt.bc7.C,unknown
b10C4,pTF1.c61wt.bc7.D,c61wt.bc7.D,unknown
b10C5,pTF1.c61wt.bc9.A,c61wt.bc9.A,unknown
b10C6,pTF1.c61wt.bc9.B,c61wt.bc9.B,unknown
b10C7,pTF1.c61wt.bc9.C,c61wt.bc9.C,unknown
b10C8,pTF1.c61wt.bc9.D,c61wt.bc9.D,unknown
b10C9,pTF1.c61wt.bc10.A,c61wt.bc10.A,unknown
b10D1,pTF1.c61wt.bc10.B,c61wt.bc10.B,unknown
b10D2,pTF1.c61wt.bc10.C,c61wt.bc10.C,unknown
b10D3,pTF1.c61wt.bc10.D,c61wt.bc10.D,unknown
b10D4,pTF1.c61wt.bc1.E,c61wt.bc1.E,unknown
b10D5,pTF1.c61wt.bc1.F,c61wt.bc1.F,unknown
b10D6,pTF1.c61wt.bc1.G,c61wt.bc1.G,unknown
b10D7,pTF1.c61wt.bc1.H,c61wt.bc1.H,unknown
b10D8,pTF1.c61wt.bc1.I,c61wt.bc1.I,unknown
b10D9,pTF1.c61wt.bc1.J,c61wt.bc1.J,unknown
b10E1,pTF1.c61wt.bc1.K,c61wt.bc1.K,unknown
b10E2,pTF1.c61wt.bc2.E,c61wt.bc2.E,yes
b10E3,pTF1.c61wt.bc2.F,c61wt.bc2.F,yes
b10E4,pTF1.c61wt.bc2.G,c61wt.bc2.G,yes
b10E5,pTF1.c61wt.bc2.H,c61wt.bc2.H,yes
b10E6,pTF1.c61wt.bc2.I,c61wt.bc2.I,yes
b10E7,pTF1.c61wt.bc2.J,c61wt.bc2.J,yes
b10E8,pTF1.c61wt.bc2.K,c61wt.bc2.K,yes
b10E9,pTF1.c61wt.bc3.E,c61wt.bc3.E,unknown
b10F1,pTF1.c61wt.bc3.F,c61wt.bc3.F,unknown
b10F2,pTF1.c61wt.bc3.G,c61wt.bc3.G,unknown
b10F3,pTF1.c61wt.bc3.H,c61wt.bc3.H,unknown
b10F4,pTF1.c61wt.bc3.I,c61wt.bc3.I,unknown
b10F5,pTF1.c61wt.bc3.J,c61wt.bc3.J,unknown
b10F6,pTF1.c61wt.bc3.K,c61wt.bc3.K,unknown
b10F7,pTF1.c61wt.bc3.L,c61wt.bc3.L,unknown
b10F8,pTF1.c66.r18.10L01,c66r18.10L01,unknown
