run	log_tsat	log_tbg	log_eta
best	2.7530283529189705	-5.3790901315861905	6.414183484983024
samp_00	2.756528832547299	-5.365258398910275	6.391527287050675
samp_01	2.6915188824899565	-5.057832470028119	6.822833586231617
samp_02	2.7723510810533916	-5.271387847178842	6.5166573670663634
samp_03	2.8320516967513076	-5.568179075057598	6.182211613467138
samp_04	2.8125889426252124	-5.342483779646747	6.236525222244249
samp_05	2.749539793321747	-5.515960493492483	6.327073903880566
samp_06	2.6503686782788582	-5.295527194745064	6.682426172666593
samp_07	2.74601636905673	-5.471707591248658	6.421105775330425
samp_08	2.8640298502042465	-5.5906976058555164	6.196415378778927
samp_09	2.713531765255957	-5.338453642820354	6.396430041242881
samp_10	2.7633734293675714	-5.638789775423067	6.294125693503886
samp_11	2.7691699660247795	-5.144979576147688	6.615030700018541
samp_12	2.7011929844236207	-5.341641957003447	6.6820807498519805
samp_13	2.6833840359005	-5.392267203317506	6.502712882541698
samp_14	2.7219568143079274	-5.246050229064263	6.462702922217453
samp_15	2.7532843641292906	-5.37472039927148	6.569764888400042
samp_16	2.8069660940691525	-5.369438966064521	6.36500513113145
samp_17	2.668009046698672	-5.189117857287688	6.582983774634028
samp_18	2.8353453478631208	-5.312991164685122	6.349318393365481
samp_19	2.679938863168505	-5.281382536835939	6.622308174939824
samp_20	2.69329694527098	-5.088605643060274	6.736623393719923
samp_21	2.722539962067248	-5.159492842566962	6.628968302943536
samp_22	2.796820747085315	-5.491294059383504	6.327137456700463
samp_23	2.761530804917094	-5.408988147626761	6.3284349963344875
samp_24	2.6882468075794623	-5.420250320854425	6.443360123364544
samp_25	2.7754807059671096	-5.333077374555629	6.597326174286972
samp_26	2.7714296539603698	-5.413782713366704	6.369205689806075
samp_27	2.7486845607614354	-5.510826000584432	6.38334425657145
samp_28	2.761254142808688	-5.3256656013227195	6.531916354082414
samp_29	4.407439050228259	-6.40465427636445	4.698900414107207
samp_30	2.7099482164511435	-5.307152270316635	6.4150104210450705
samp_31	2.777578145301963	-5.277172732098437	6.48854610143358
samp_32	2.7710807159034165	-5.3949566751823	6.494018344055962
samp_33	2.762774198876383	-5.371412557865435	6.509846129545757
samp_34	2.6675502313484856	-5.228485341037484	6.632754954809453
samp_35	2.7813462461140728	-5.565627263531685	6.267902977579398
samp_36	2.737853551484285	-5.373404997840742	6.43673739725269
samp_37	2.7647193674218578	-5.330675793890704	6.511208824020393
samp_38	2.8320809497997064	-5.550387885185393	6.276629856505318
samp_39	2.7473509982078093	-5.428321507472861	6.539550241384539
samp_40	2.8071414670914847	-5.37617499872702	6.331226620334718
samp_41	2.7303878549928755	-5.667392572630208	6.36081586744926
samp_42	2.818086507275334	-5.398682930334125	6.409503351606706
samp_43	2.737757228615243	-5.3362266563353105	6.3433554537617445
samp_44	2.654252264631507	-5.1989713978259555	6.694319920267458
samp_45	2.8049064240138777	-5.492836256622305	6.159472858254843
samp_46	2.8407455542929028	-5.420325279175372	6.210703085048106
samp_47	2.8237272323581473	-5.453883932343194	6.274738616855771
samp_48	2.7588636268544935	-5.213203807569072	6.452194326068355
samp_49	2.798749210300924	-5.659349746616223	6.207266715107423
samp_50	2.7613977473308227	-5.2927597285010055	6.377831209371948
samp_51	2.7544148832641717	-5.487033429318555	6.363546799574617
samp_52	2.8170187264349957	-5.545556627350565	6.207719584787249
samp_53	2.678223008862396	-5.4948829326500475	6.403787905070589
samp_54	2.7245670687121404	-5.574713868039069	6.315706472690186
samp_55	2.7662137733651857	-5.482687751749432	6.361615547987407
samp_56	2.808481434652648	-5.500252053060178	6.234560157085623
samp_57	2.813747710223571	-5.548692738518668	6.328676964203951
samp_58	2.7681684151624797	-5.153051479458423	6.625901239046773
samp_59	2.77548660982564	-5.427371237704255	6.270680314276591
samp_60	2.7449331320892525	-5.437607658649935	6.339462109352009
samp_61	2.6890931180362907	-5.350335575962592	6.606557232756432
samp_62	2.699851124982647	-5.360996859310146	6.345401057015404
samp_63	2.7742256301870536	-5.317722547285597	6.486401145047258
samp_64	2.7672292070807076	-5.429436310461771	6.291389254570808
samp_65	2.816535477798004	-5.408795236755683	6.470538374988735
samp_66	2.829105930729111	-5.572526396494671	6.160161361551249
samp_67	2.667360351855705	-5.383649104854065	6.613766808475761
samp_68	2.7141570401283084	-5.347830335813779	6.410627575653152
samp_69	2.839071401261453	-5.3991316026901375	6.258069685557919
samp_70	2.7600161102437952	-5.43180701162102	6.353816027388754
samp_71	2.8046620777947044	-5.337554414881749	6.439423918805569
samp_72	2.705677057008237	-5.278952516186497	6.540239515681212
samp_73	2.6553307437560587	-5.184898486000513	6.790628697011096
samp_74	2.702810434690764	-5.1091399653972305	6.766147882563463
samp_75	2.7073060012692705	-5.293340898902532	6.692660763126323
samp_76	2.661742661156121	-5.2652457933648344	6.6225155320651705
samp_77	2.8164776034414105	-5.416966015055699	6.31238049294524
samp_78	2.776676292222176	-5.314623407530092	6.316350531014437
samp_79	2.6862801336527773	-5.287546075841473	6.563157312153533
samp_80	2.6572909041869517	-5.545150481363937	6.588144770697478
samp_81	2.6952454973156095	-5.3263554787290905	6.506001026092139
samp_82	2.732623076243129	-5.461016375281131	6.333113391950283
samp_83	2.7656553213598616	-5.364772730876604	6.4474746409238755
samp_84	2.718169006215709	-5.2711324347396635	6.571927419647055
samp_85	2.749119877869175	-5.615517686554136	6.369533114609243
samp_86	2.749170514392779	-5.463173291273901	6.377626788549888
samp_87	2.7452744545196417	-5.3788874351789655	6.405199782950249
samp_88	2.7462518926344837	-5.409169796958201	6.404808592815644
