run	log_tsat	log_tbg	log_C
best	7.254657140124256	-6.055071525716296	3.375925353169535
samp_00	2.531896205431223	-6.064287517276603	3.879332229804098
samp_01	5.022487582245953	-6.011846389523931	3.3812428980441767
samp_02	3.2283575533719673	-6.08735584620726	3.4147404174111435
samp_03	2.8840161003605855	-6.035839309823994	3.590969382021528
samp_04	11.578040668515342	-6.08970594466563	3.39076654497298
samp_05	2.8555811387339336	-6.172361603975929	3.5771133422074333
samp_06	2.993583847173091	-5.9603026931101395	3.515830674914974
samp_07	13.971927069598802	-6.081348566066122	3.2003404965897384
samp_08	13.119086692266126	-6.079959441666465	3.4039281083179675
samp_09	5.117205589487242	-6.146562453295993	3.272097983731649
samp_10	2.5369559283877727	-5.890132482892503	3.6017970102685113
samp_11	5.163105812572085	-6.41727272991751	3.3766542052311013
samp_12	3.195212288699129	-5.90351203166235	3.4833735608988703
samp_13	13.327364629007747	-5.89312443918886	3.3909949147257534
samp_14	10.884365367525279	-6.126820071338231	3.2811918164044873
samp_15	5.01322564663216	-6.001237356258191	3.4710888820064287
samp_16	14.661815493237158	-6.130544431832539	3.3212866019031666
samp_17	3.7535911273756444	-6.074426393769137	3.4175160868391545
samp_18	2.8423239642266482	-6.071118786078762	3.777498843816509
samp_19	2.4553549333704114	-6.043027550785642	3.6915715861994287
samp_20	5.024159504552803	-6.196054087147419	3.2852006661712134
samp_21	4.371568915744376	-5.952457757463994	3.4541891695717464
samp_22	2.9307006428700872	-5.793635955041782	3.542341404717187
samp_23	3.3805709947908587	-6.034606653033945	3.5713993694862394
samp_24	14.236312501273952	-6.337558667583551	3.336106240685372
samp_25	13.362906771623345	-6.02054762509485	3.3465599574638683
samp_26	12.363882394660795	-6.299244757151418	3.3472792255378834
samp_27	3.1673065642410205	-6.039085761041913	3.507707223434452
samp_28	2.3118167279342337	-6.023664739762328	3.856429738913461
samp_29	2.7128005930647294	-6.153098363336382	3.5579296311337996
samp_30	2.453231783611218	-5.948682892889057	3.6641526630626036
samp_31	2.895871837038818	-5.793954109276822	3.4865596729903343
samp_32	3.1499396258829937	-6.230514135998788	3.547271885245226
samp_33	2.6270898154711464	-5.8793533934444175	3.7428392140402473
samp_34	2.672601125020256	-5.983205123789544	3.760871076167532
samp_35	2.5899347720681347	-5.933195719704237	3.647313084595689
samp_36	14.57145275249241	-6.162753966255734	3.242674494748623
samp_37	13.335069680970793	-6.303160843711354	3.2053768914708605
samp_38	2.5600564949599907	-5.886928095538453	3.7142702652855886
samp_39	2.9042984803818888	-6.072383334337052	3.41689377670242
samp_40	3.5678901405155905	-5.817933819572593	3.41818122881096
samp_41	3.4078477537946203	-6.0405550813819895	3.508487871316858
samp_42	15.568545361660306	-6.119809252376619	3.288601396899156
samp_43	2.635973349405334	-5.98352445591472	3.645226468759127
samp_44	3.1776928898989873	-6.192550656655706	3.512553873521639
samp_45	2.54400508766048	-6.029327697181095	3.819333690183652
samp_46	3.28423306319884	-6.0963611433593075	3.4572071534861246
samp_47	3.9715624235887557	-6.011489608158731	3.4461304644130695
samp_48	2.2903467169490606	-5.924655880721423	3.934895933694922
samp_49	3.1559498831240873	-5.793673852901806	3.4955795540890655
samp_50	2.829269851646398	-5.934236252164593	3.5086402304170563
samp_51	14.037398247004848	-6.082401077157367	3.3410972723624894
samp_52	3.8557126723514648	-5.960447539123547	3.454639985079542
samp_53	3.6080121085602106	-5.8575502349146085	3.5343282650490013
samp_54	13.577713653307537	-6.09438280174226	3.2159125668008364
samp_55	3.096191370491582	-6.0797335772257615	3.4950987276343697
samp_56	11.955420683432482	-5.995143889613651	3.374905326579313
samp_57	12.794284209707886	-6.174647375982689	3.257657534516427
samp_58	14.962867143208037	-6.047640643924491	3.233210893555015
samp_59	13.463098551284293	-6.075760134977001	3.250439673186867
samp_60	14.052170114256104	-6.18963087775635	3.23537623652843
samp_61	3.918113414869964	-6.100839070142122	3.4750334354787387
samp_62	13.785981408743183	-6.195811522168058	3.4690645287949646
samp_63	3.881471890821716	-6.207291895772843	3.417638819080192
samp_64	2.881892661440975	-5.9347526691322185	3.6639107667405733
samp_65	4.203177859121031	-6.0666430579523185	3.4635618626567144
samp_66	2.877155649050036	-6.133058255819429	3.5105639166287967
samp_67	4.97381192983097	-5.87357061959921	3.4618549613739424
samp_68	4.002476704218932	-6.040917301957199	3.4355635000533025
samp_69	4.691781355301604	-6.100145772303613	3.4838890619590313
samp_70	4.949255233921249	-5.969632593494179	3.622888968835911
samp_71	13.55398081055483	-6.233126929804191	3.325245231355024
samp_72	2.378918414675905	-5.908299016554461	3.574772749682526
samp_73	2.4093227581625416	-5.978241681913052	3.744034585147916
samp_74	4.590300240414118	-5.7930720100372595	3.6066193591473423
samp_75	2.4256255804833753	-6.057480784543674	3.758780164388622
samp_76	2.461141687000467	-6.044234398959096	3.7465977245499107
samp_77	3.981665970809302	-6.118115002113087	3.594298371191797
samp_78	2.6534184159794147	-6.066767060031507	3.749750427609699
samp_79	2.9397104340893523	-6.074892325505614	3.657411275739289
samp_80	3.2172997444399907	-6.144849361649905	3.484002159197032
samp_81	2.456542894544588	-6.307222957455422	3.662322756998659
samp_82	3.047956539483418	-6.143998580538756	3.511762983649739
samp_83	4.967623488841854	-6.102751732953259	3.3465333140111615
samp_84	2.4608252626807667	-5.968240041654074	3.5410110029292343
samp_85	14.005599932703996	-6.066280769492103	3.195948019551455
samp_86	13.175544733634737	-6.110258617423865	3.1214888610926916
samp_87	13.142163643918417	-6.065411406136381	3.203270532391821
samp_88	15.709263884106445	-6.040953112996936	3.320350927877159
samp_89	3.084967933271998	-6.00267903317829	3.6781850009673547
samp_90	3.1914857480742524	-5.984656330863627	3.562687553830068
samp_91	3.3413270655158662	-6.097299499648124	3.5567964225778637
samp_92	3.6751545205563856	-6.007579520147718	3.4306624610541636
samp_93	13.888344001011843	-6.189563656065827	3.2147060807396612
samp_94	4.08270465428901	-6.247532324888793	3.371706258438735
samp_95	2.9505940357744134	-6.05625536407625	3.737089135705632
samp_96	4.969540912537675	-6.129051009406638	3.309179407909875
samp_97	3.8294077264876747	-5.929914248430974	3.427395351094569
samp_98	2.358313667783599	-6.045915819081819	3.683788830354344
samp_99	14.235402916668656	-6.114642274506613	3.3045779972318794
