distance	alpha	alpha_16	alpha_50	alpha_84	tsat	tsat_16	tsat_50	tsat_84	tbg	tbg_16	tbg_50	tbg_84
60.5	22.813895374513802	16.475899185551583	21.04328452437621	25.33484215337267	18.539197089199785	15.464382259818603	20.47320797771215	39.50817738831116	0.000959736823684226	0.0002223760390085819	0.0004311085959616888	0.0011838278911673603
61.5	631.2604718331048	548.7359393709467	626.9636697914032	759.2666923942816	15.69007509525023	14.776124483843562	15.702968696934455	16.656065355346165	0.004612016349518865	0.004003549199219377	0.004618003536664191	0.005111589334705019
62.5	40.53998171516565	35.36667781507866	43.81582559168286	52.479318157672175	16.176674264290764	14.34509934377775	15.659949842907723	17.464210917464833	0.001515017716889982	0.0008688011548672378	0.00146225873380274	0.002535554600719299
63.5	4.109218398984969	3.990437499526225	4.38922775366294	5.436364108979428	15.378877903953063	1.5237279423158283	13.97962648169446	181.42168271814774	9.393125523938907e-27	2.9526647802022917e-44	0.000694530600875822	0.0016369518115903858
64.5	5.459700202061221	5.521348131990043	6.220614403651527	7.753472165245696	15.484811773271263	1.9285917391293912	14.849454401913285	15.504511102139821	0.0010562326015910442	0.0010432417662802832	0.0014180369738522798	0.0017318450755183898
65.5	1.8879860248417144	1.706743317258451	1.8118102460973533	1.9239264162275675	20.415958567924577	10.977289488723574	29.553352567568986	311.2779494018047	2.8555763065150713e-43	2.1263105210683013e-135	5.9813387540891865e-33	1.3551112937408106e-05
66.5	0.7891550134050789	0.726999737440585	0.7842947427596944	0.8268845794230856	7.567037608100653	6.992403003604624	7.554192156938842	7.704377709498089	0.0021842068801058274	1.2083976659642887e-15	0.0021483688457372557	0.002183760008929737
71.5	93.42869690662738	83.8804888182078	96.83696461904813	114.11648546140333	14.224614687365703	10.234236404807	13.156832923095847	15.802186053779053	0.004340732821498046	0.00421285199630033	0.004945190298978155	0.006231105871354275
72.5	76.68554897900977	68.56512464684799	75.8047709402845	82.5742450735234	13.296831745030069	12.551302455761313	13.456229328656532	14.657899097467897	0.0032389311231093756	0.0031003711409831347	0.00342569027958877	0.003730931245518765
76.5	1.0726072033266632	0.9859474192919577	1.0785915328137747	1.1631632692498177	105.69888027842424	3.0555988073218336	205.84720507771135	227.17246792079993	0.0035686587571001336	7.250748504163387e-167	7.087605366753558e-05	0.003584631070623987
81.5	10.372219125137255	6.937396215358591	8.979747858036877	10.217369322323353	12.589396922185859	12.66405713707475	16.675870071181315	4096342.0674007838	0.0033603090522174276	0.000717931775569998	0.0019780808607793576	0.0031288765828026465
82.5	15.703819834347167	10.208652886276424	12.14160186219297	16.033138419561833	12.06909039149374	10.73511845276212	12.03315431048062	13.740032110537559	0.0028193828012170775	0.001638836208049309	0.0024635202941286696	0.0034110590724685972
