name	loc	matrix_energy	log_P/1.62	log_P_16/1.62	log_P_50/1.62	log_P_84/1.62
c61r18.10L20	b2E7	-7.5982	-3.68825575133	-3.71248742675	-3.68259368014	-3.6321282275
c61r18.10L21	b2E8	-7.2301	-2.4043885554	-2.44586321971	-2.41361982337	-2.3612323969
c61r18.10L22	b2E9	-7.5777	-3.27157602655	-3.29774031679	-3.24653791794	-2.75555460331
c61r18.10L23	b2F1	-9.0498	-7.21562456295	-7.29435206064	-7.2367409799	-7.17930706689
c61r18.10L24	b2F2	-6.6954	-1.12222925982	-1.23285802636	-1.10923711321	-1.05638235134
c61r18.35L03	b1B8	-10.9252	-6.62652435246	-6.69167448488	-6.65077058284	-6.59226669304
c61r18.35L04	b1B9	-8.3435	-5.34699414586	-5.42186591126	-5.36178773833	-5.32359790231
c61r18.35L05	b1C1	-9.669	-6.33156424167	-6.38889104892	-6.33809137897	-6.26553315359
c61r18.35L06	b1C2	-7.1497	-3.53487298145	-3.59011641594	-3.53179205269	-3.49172925656
c61r18.35L07	b1C3	-6.9941	-2.15690662496	-2.19627724465	-2.15799742016	-2.12426269863
c61r18.35L08	b1C4	-8.4531	-4.89422058489	-4.9539109509	-4.89378622002	-4.82782962144
c61r18.35L09	b1C5	-10.1398	-6.43877048546	-6.52027833515	-6.46321762038	-6.40321982022
c61r18.35L10	b1C6	-10.1381	-7.03029486308	-7.09145774331	-7.04233250112	-7.00435836192
c61r18.35L11	b1C7	-9.9785	-5.88327918952	-5.9515746404	-5.90611604293	-5.85510102642
c61r18.35L12	b1C8	-9.5187	-6.61797650297	-6.73556595649	-6.6647380041	-6.58140778784
c61r18.35L13	b1C9	-9.5187	-6.13261343048	-6.19028155471	-6.14474359791	-6.07914360148
c61r18.35L14	b1D1	-8.206	-4.73698954223	-4.80596432366	-4.75679664238	-4.687745208
c61r18.35L16	b1D3	-6.7886	-1.8841200123	-1.91138595191	-1.8742952718	-1.8406826514
c61r18.35L17	b1D4	-10.6999	-7.05791395129	-7.12980162417	-7.07758361372	-7.03749085544
c61r18.35L18	b1D5	-7.6847	-3.79433034051	-3.84990401447	-3.78653035247	-3.73266163554
c61r18.35L20	b1D7	-9.7865	-6.50454621255	-6.5864032938	-6.53024987604	-6.46367769603
c61r18.35L21	b1D8	-8.5799	-5.18132829841	-5.26178952553	-5.1865727345	-5.11803646144
c61r18.35L22	b1D9	-6.9238	-2.66187926819	-2.68043878128	-2.6537800678	-2.63001455225
c61r18.35L23	b1E1	-9.2194	-6.62070560931	-6.73482972118	-6.65692257725	-6.58482692209
c62r18.10L01	b7G5	-9.8032	-6.09443869535	-7.17933757486	-6.17700184376	-5.64196892679
c62r18.10L02	b7G6	-10.2875	-5.51330752581	-6.12560328079	-5.55163110913	-5.27448355056
c62r18.10L03	b7G7	-7.4628	-3.1136901416	-3.22142450329	-3.12849048637	-3.06479960886
c62r18.10L04	b7G8	-7.0583	-3.03151795176	-3.07582439306	-3.01853634705	-2.96938495804
c62r18.10L05	b7G9	-6.4804	-1.42651587874	-1.5026545224	-1.42261347782	-1.3642718889
c62r18.10L06	b7H1	-6.6339	-1.85335216273	-1.88553230899	-1.82581950321	-1.77276227466
c62r18.10L07	b7H2	-7.2746	-2.94517053745	-3.02655654887	-2.95179219791	-2.90165200917
c62r18.10L08	b7H3	-5.896	0.0770813402525	-0.270577177186	0.0709618531412	0.20674391134
c62r18.10L09	b7H4	-6.956	-2.44627110759	-2.50396266419	-2.44849248084	-2.38685871953
c62r18.10L10	b7H5	-6.4804	-1.52623656604	-1.54948136868	-1.49305642107	-1.37830515744
c62r18.10L11	b7H6	-7.0266	-2.44397500839	-2.48543326164	-2.42085626689	-2.33473141798
c62r18.10L12	b7H7	-8.1508	-3.88827794509	-3.93701048101	-3.89224553413	-3.83727762541
c62r18.10L13	b7H8	-7.4873	-3.50920731296	-3.54469020546	-3.50015093861	-3.44554550623
c62r18.10L14	b7H9	-8.7812	-3.25083229418	-3.28750665295	-3.24983767932	-3.2138075529
c62r18.10L15	b7I1	-10.0964	-6.91732110619	-7.14921335011	-6.95503636065	-6.65087178355
c62r18.10L16	b7I2	-7.2756	-2.3161018783	-2.39541677954	-2.33132362165	-2.27418622375
c62r18.10L17	b7I3	-6.4366	-0.914860724782	-1.00089864838	-0.89103898599	-0.79366134322
c62r18.10L18	b7I4	-8.5902	-4.85001648405	-4.9509780668	-4.84603129034	-4.74173899033
c62r18.10L19	b7I5	-7.2205	-2.4096909741	-2.45304180946	-2.39139518485	-2.32901563905
c62r18.10L21	b7I7	-8.1529	-5.21141548845	-5.29369230493	-5.22968930449	-5.12709532189
c62r18.10L22	b7I8	-10.7088	-6.70853331316	-6.87372877553	-6.70783921577	-6.55137418894
c62r18.10L23	b7I9	-10.7221	-4.59645657001	-4.68306639162	-4.60225400169	-4.52057350183
c64r18.10L02	b9E5	-9.5858	-0.135955003912	-0.57932109277	-0.205701336398	-0.033163804187
c64r18.10L06	b9E9	-6.8538	-2.99760567314	-3.31857483032	-3.00481525393	-2.95234885074
c64r18.10L08	b9F2	-8.5781	-6.57657414144	-7.61021725258	-6.80798491171	-6.49627222766
c64r18.10L09	b9F3	-8.2325	-5.56502390463	-5.88210890132	-5.6161513122	-5.4126813044
c64r18.10L10	b9F4	-9.0673	-6.15916306428	-6.46342876815	-6.15889329349	-5.85343220069
c64r18.10L11	b9F5	-10.9884	-5.69708244078	-6.07126554919	-5.77505591587	-5.58719024508
c64r18.10L12	b9F6	-8.235	-4.41960043684	-4.76157641032	-4.50468400981	-4.2878791925
