name	loc	median_basal	median_induced	inliers
c61r18	b1A1	0.224533708305	15.5357565278	True
c61r18.35L02	b1B7	0.165658445745	4.5384356066	False
c61r18.35L03	b1B8	0.00354986282405	0.213105299779	True
c61r18.35L04	b1B9	0.00665524572439	1.54837447265	True
c61r18.35L05	b1C1	0.00671996763807	0.320600572691	True
c61r18.35L06	b1C2	0.0569967115332	9.79836716355	True
c61r18.35L07	b1C3	0.4652463149	16.9312042439	True
c61r18.35L08	b1C4	0.0105279691005	2.76183164614	True
c61r18.35L09	b1C5	0.00743737621799	0.269195193717	True
c61r18.35L10	b1C6	0.00484604816792	0.111002254449	True
c61r18.35L11	b1C7	0.00585614897886	0.660437188226	True
c61r18.35L12	b1C8	0.00536942815156	0.209652246684	True
c61r18.35L13	b1C9	0.00700391255374	0.433078916714	True
c61r18.35L14	b1D1	0.0130888520383	3.19818226783	True
c61r18.35L15	b1D2	0.0111579684563	3.07313197608	True
c61r18.35L16	b1D3	0.715098933214	14.876198941	True
c61r18.35L17	b1D4	0.00529491238531	0.106019361924	True
c61r18.35L18	b1D5	0.0389922023633	8.50738766807	True
c61r18.35L19	b1D6	0.024717888482	6.74225739981	True
c61r18.35L20	b1D7	0.0083330218194	0.241109511294	True
c61r18.35L21	b1D8	0.00990584998118	1.71725123418	True
c61r18.35L22	b1D9	0.210404367152	15.4050301106	True
c61r18.35L23	b1E1	0.010465469824	0.198914730824	True
c61r18.35L24	b1E2	0.386404289188	15.5341324791	True
c61r18.10L01	b2C6	0.00889665932414	2.95515476859	True
c61r18.10L02	b2C7	3.14998487629	16.8863239287	True
c61r18.10L03	b2C8	0.0984055614844	11.5507678705	True
c61r18.10L04	b2C9	0.127882358423	14.8090761695	True
c61r18.10L05	b2D1	0.156371907125	13.5369232513	True
c61r18.10L06	b2D2	0.0103168064359	4.05257362885	True
c61r18.10L07	b2D3	0.197810923514	15.6542218122	True
c61r18.10L08	b2D4	0.0719087619896	10.5539250746	True
c61r18.10L09	b2D5	0.42236826166	15.4560458087	True
c61r18.10L10	b2D6	0.00180020508872	0.180919579794	True
c61r18.10L11	b2D7	0.00842040573747	0.0703941678957	True
c61r18.10L12	b2D8	0.0512298000668	9.66896254596	True
c61r18.10L13	b2D9	0.00353912877864	0.204554887991	True
c61r18.10L14	b2E1	0.13935089433	15.2757785032	True
c61r18.10L15	b2E2	0.000864104451066	0.0340391342606	False
c61r18.10L16	b2E3	0.00214357730219	0.297289975511	True
c61r18.10L17	b2E4	0.0013909145104	0.00682625250119	False
c61r18.10L19	b2E6	0.0533006341682	10.2565517501	True
c61r18.10L20	b2E7	0.0446609542935	9.43752995233	True
c61r18.10L21	b2E8	0.322725388407	12.1839320408	True
c61r18.10L22	b2E9	0.0817607358937	12.3604354545	True
c61r18.10L23	b2F1	0.00315216663111	0.0846029600857	True
c61r18.10L24	b2F2	2.21431704296	9.81105877304	True
c71r18	b1I1	0.157360398335	6.398464092	True
c71r18.10L01	b2F3	0.360582649002	8.20134066261	True
c71r18.10L02	b2F4	0.126435953454	1.63551897222	False
c71r18.10L03	b2F5	1.9938279486	10.4601529522	True
c71r18.10L04	b2F6	0.00415936069733	0.0109358008192	True
c71r18.10L05	b2F7	0.121693013901	5.70852835486	True
c71r18.10L06	b2F8	0.125672564738	6.23618175383	True
c71r18.10L07	b2F9	0.00283800952498	0.0172027512746	True
c71r18.10L09	b2G2	0.00521121054222	0.0435729605081	True
c71r18.10L10	b2G3	0.117746524602	6.00213414238	True
c71r18.10L11	b2G4	6.34978831968	16.0225882897	True
c71r18.10L12	b2G5	0.0274050654863	1.68770881814	True
c71r18.10L13	b2G6	0.108666100586	5.95746189512	True
c71r18.10L14	b2G7	0.21698700361	7.66082535389	True
c71r18.10L15	b2G8	0.151790402581	7.36066753382	True
c71r18.10L17	b2H1	0.0256206581577	1.91375835138	True
c71r18.10L19	b2H3	3.34438446365	11.1745983538	True
c71r18.10L20	b2H4	0.0193485738423	1.60714450396	True
c71r18.10L21	b2H5	0.0101296690558	0.698547733764	True
c71r18.10L23	b2H7	0.0211359832658	1.5295005109	True
c71r18.10L24	b2H8	0.147568567002	8.7806065364	True
c71r18.35L04	b1I8	0.132106154289	7.00656693056	True
c71r18.35L06	b2A1	0.0220230065013	0.69059291577	True
c71r18.35L07	b2A2	0.030300780796	2.31148205791	True
c71r18.35L09	b2A4	0.101276275289	3.97609390926	True
c71r18.35L10	b2A5	0.169074975363	7.33019449354	True
c71r18.35L11	b2A6	0.0103989133736	0.532971883905	True
c71r18.35L12	b2A7	0.00550588944507	0.0521815143413	True
c71r18.35L13	b2A8	0.00510637563119	0.0459168866545	True
c71r18.35L14	b2A9	0.0170519193141	0.933834668724	True
c71r18.35L15	b2B1	0.192548427342	8.50108955192	True
c71r18.35L16	b2B2	0.240126287932	8.90421759333	True
c71r18.35L18	b2B4	7.33479474775	17.638605012	True
c71r18.35L19	b2B5	0.084365328085	5.60853567067	True
c71r18.35L20	b2B6	0.127075500806	5.83892637547	True
c71r18.35L21	b2B7	0.156149214773	7.92507329159	True
c71r18.35L23	b2B9	0.00657787797604	0.0628572104052	True
61c-ocl.35L01	b5B2	0.050659043782	0.0043969353317	True
61c-ocl.35L02	b5B3	0.0683166320342	0.00636148438466	True
61c-ocl.35L04	b5B5	0.0127751788357	0.0100473513247	True
61c-ocl.35L06	b5B7	0.00359429414351	0.00200463022883	True
61c-ocl.35L07	b5B8	0.322312790555	0.0169972530734	True
61c-ocl.35L08	b5B9	0.00706807226075	0.00134169047007	True
61c-ocl.35L09	b5C1	0.00573154995862	0.00185620872529	True
