run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5B2_log_P	b5B2_weight	b5C3_log_P	b5C3_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5B9_log_P	b5B9_weight	b5E4_log_P	b5E4_weight	b5F6_log_P	b5F6_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5B3_log_P	b5B3_weight	b5C5_log_P	b5C5_weight	b5F3_log_P	b5F3_weight	b5G9_log_P	b5G9_weight	b5H4_log_P	b5H4_weight	b5G1_log_P	b5G1_weight	b5F8_log_P	b5F8_weight	b5G6_log_P	b5G6_weight	b5G3_log_P	b5G3_weight	b5B5_log_P	b5B5_weight	b5C4_log_P	b5C4_weight	b5C8_log_P	b5C8_weight	b5B7_log_P	b5B7_weight	b5C2_log_P	b5C2_weight	b5C1_log_P	b5C1_weight	b5C9_log_P	b5C9_weight	b5A8_log_P	b5A8_weight	b5C7_log_P	b5C7_weight	b5D5_log_P	b5D5_weight	b5D3_log_P	b5D3_weight	b5D7_log_P	b5D7_weight	b5D2_log_P	b5D2_weight	b5D6_log_P	b5D6_weight	b5D4_log_P	b5D4_weight	b5F7_log_P	b5F7_weight
samp_57	3.3076820868847845		0.0	-7.757643739084307	2.0	-6.433130777125192	3.0		0.0	-6.402742517081923	2.0		0.0	-3.30076654525989	3.0		0.0		0.0	-4.0213973901477384	2.0	-2.152956057240691	3.0	-8.383799718200585	1.0	-1.0653781604248922	2.0	-5.764655233692587	1.0	-2.6077910137172178	1.0	-1.2692977253663322	1.0		0.0		0.0	-1.4751865320093551	1.0		0.0		0.0	-5.047912888942158	3.0		0.0	-6.421198007145224	2.0		0.0	-7.175907121405567	1.0	-9.65492664802872	1.0	-8.806801406764908	1.0	-9.899869036772722	2.0		0.0		0.0	-8.254113781934302	2.0	-5.216206281372928	1.0	-11.275644953689353	1.0	-7.179502681798657	1.0		0.0		0.0	-11.562668771093138	1.0	-23.377788603296914	1.0	-8.011709635358846	1.0	-1.7551677296745603	1.0
samp_58	3.256507539646106	-3.8436298715322237	2.0	-7.759483671519473	3.0		0.0		0.0	-6.410010892006047	1.0	-5.853515206107414	1.0		0.0	-1.1494161764833057	2.0		0.0		0.0	-2.1794210934308205	2.0	-8.388011898535254	1.0	-1.0964622426408677	1.0	-5.77485916394945	1.0	-2.632814343538848	1.0	-1.2992522416267713	2.0		0.0	-18.284530437403323	1.0	-1.5038215875910916	3.0		0.0		0.0	-5.064815320465557	1.0	-5.691010425726177	1.0	-6.4217069909018445	1.0	-6.993948172247088	1.0		0.0	-9.653268518432865	1.0		0.0	-9.901542258777354	2.0	-8.873575615315726	1.0	-8.702018336307322	2.0		0.0	-5.226402093500831	1.0		0.0	-7.172436293929529	2.0	-10.26776722236948	1.0	-10.320745980425512	3.0	-11.556081636406272	1.0		0.0	-8.006853925901902	2.0		0.0
samp_59	3.401221193386992	-3.7857358245898154	1.0	-7.754692213597927	1.0	-6.4211844935074325	2.0	-2.323286563244533	1.0	-6.390345505912051	2.0	-5.8365873873522	2.0		0.0		0.0	-4.462134780638166	1.0	-3.985573502953473	1.0	-2.1042612749242813	1.0	-8.376877620994197	1.0	-1.0077635680173112	2.0		0.0	-2.561898178968107	1.0	-1.213821051076258	2.0	-5.408671223892525	1.0	-22.926762819224756	1.0		0.0		0.0	-4.941713898798979	1.0	-5.017856728799443	2.0	-5.662893447136054	1.0	-6.421237057626923	2.0	-6.976145131222039	3.0		0.0	-9.658563467649941	3.0	-8.806394087558605	2.0		0.0	-8.880923761914834	2.0	-8.696849696999996	1.0		0.0		0.0		0.0		0.0		0.0	-10.30683141217982	1.0	-11.544626092408603	2.0		0.0		0.0	-1.704843960168854	1.0
samp_60	3.2109555380102854		0.0	-7.761215022903173	2.0		0.0		0.0	-6.4168227352305065	1.0		0.0	-3.3438862595925216	2.0		0.0	-4.526409146402016	2.0	-4.058981983089164	3.0	-2.202887279414807	2.0		0.0	-1.1238520200670945	1.0		0.0	-2.6550365840719725	2.0	-1.3256899842406085	2.0		0.0		0.0		0.0	-4.997163800647794	1.0	-4.998407677068043	2.0		0.0	-5.700585134420225	1.0	-6.4224799480178385	1.0	-7.000083875567339	1.0		0.0	-9.65118254378385	2.0	-8.807446818381893	2.0	-9.902474829450972	2.0	-8.87101297762586	2.0	-8.703724911013348	1.0		0.0	-5.235926201179005	2.0	-11.29790997434867	2.0	-7.16607517208315	1.0		0.0		0.0	-11.564720939487701	1.0		0.0	-8.002532465533674	1.0	-1.806623545796448	2.0
samp_61	3.1940294139016463	-3.8690049472688166	3.0	-7.7618385759203505	2.0	-6.449245188044468	2.0	-2.4278019441353886	2.0		0.0		0.0	-3.3514319369313856	1.0		0.0		0.0	-4.0656163538253	1.0		0.0	-8.393190628725042	2.0	-1.1339496904117425	1.0		0.0		0.0	-1.3354326706535935	2.0	-5.441370223345946	1.0	-23.133579572015933	2.0	-1.5384385065812778	2.0	-5.002045166539335	1.0	-5.003661733442873	1.0	-5.085778119350488	1.0		0.0		0.0	-7.002382211449728	1.0	-7.1477832574316	1.0		0.0		0.0	-9.903914490755174	1.0		0.0	-8.704361131382923	1.0	-8.243945765931217	1.0	-5.239548713536286	4.0	-11.301177697155897	2.0	-7.163685085829616	1.0		0.0		0.0	-11.557360071195454	2.0		0.0	-8.000950929555277	1.0	-1.8155619961568257	2.0
samp_62	3.1745869834492337	-3.87681973423905	3.0		0.0		0.0		0.0	-6.422534140537899	1.0		0.0	-3.36018394163175	2.0		0.0		0.0		0.0	-2.221576671252615	3.0	-8.394967890361754	3.0	-1.1455576170985482	1.0	-5.792127938092256	2.0		0.0	-1.3466286878868043	2.0	-5.444898612319826	1.0		0.0		0.0		0.0		0.0	-5.092352316462977	2.0	-5.708490981395632	1.0	-6.423339364577313	1.0	-7.005136035021475	2.0		0.0		0.0		0.0		0.0	-8.869139170071154	2.0	-8.705164367634431	3.0	-8.242483701601474	1.0	-5.243827693949542	1.0	-11.30491617289912	2.0	-7.161023291553666	3.0		0.0	-10.330709554996078	1.0	-11.57264852620389	1.0	-23.451518245845996	1.0	-7.999054444395653	2.0		0.0
samp_63	3.1033095969447775	-3.906039083414584	1.0	-7.76573688306062	1.0	-6.463357853360522	1.0	-2.4730152676138797	1.0	-6.434002394640876	1.0		0.0		0.0		0.0		0.0	-4.101479849255596	1.0	-2.2579274637769142	1.0		0.0	-1.187571023869415	2.0	-5.807952499362987	1.0		0.0	-1.387301414340043	1.0	-5.458544151995744	1.0	-22.68588546366784	3.0		0.0	-5.0288726706307445	1.0		0.0	-5.116939150343677	1.0	-5.724524016794509	2.0		0.0	-7.0154605439519	2.0	-7.124682145910558	2.0	-9.646894519007597	2.0		0.0		0.0	-8.864907211110856	5.0		0.0	-8.23550175782831	3.0	-5.259963601626792	3.0	-11.323716907365997	1.0		0.0	-10.237784046243062	1.0		0.0	-11.575012449773572	1.0	-24.203154055371428	1.0	-7.991930567443993	1.0		0.0
samp_64	2.9745777787819643		0.0	-7.772145947913447	2.0		0.0	-2.53668270331934	2.0	-6.456782236824623	1.0	-5.897999997086113	1.0	-3.449545407115854	1.0	-1.314102217526941	1.0	-4.611001913041046	1.0	-4.153053347527127	1.0	-2.3230360846000018	1.0	-8.414237265503031	1.0		0.0		0.0	-2.769499021285244	1.0	-1.4595047002153716	2.0	-5.485663604608514	1.0	-23.22608960423839	2.0		0.0	-5.068722326490616	1.0		0.0		0.0	-5.7555457495547095	1.0	-6.432071915075903	1.0	-7.035646903483711	1.0	-7.091302095424374	3.0		0.0	-8.809527913991127	2.0		0.0	-8.856903116048711	1.0		0.0	-8.222613730520726	1.0	-5.291513630000335	1.0	-11.349793862008259	1.0	-7.1335137403861575	2.0	-10.207205179190733	2.0	-10.355202880482222	2.0	-11.594412356027386	2.0	-23.392480443698325	1.0		0.0	-1.9299313335442723	1.0
samp_65	3.079383429085021		0.0	-7.766803287967284	1.0	-6.467340150549878	2.0	-2.4848850610964868	4.0		0.0	-5.879716177056488	2.0	-3.402653879467348	1.0	-1.2539258818071832	1.0	-4.572916962097882	2.0	-4.110999499003605	3.0	-2.2700808011868063	1.0		0.0		0.0	-5.8134464947778755	2.0	-2.7189236991642236	1.0	-1.4008353152651647	1.0	-5.463351052915266	3.0		0.0	-1.601255539793935	1.0	-5.036118674610019	1.0		0.0		0.0	-5.730109878622049	1.0	-6.426623828497102	1.0		0.0		0.0	-9.645377245397695	2.0		0.0	-9.907144045508677	2.0	-8.863576016939039	1.0	-8.70933855405161	2.0		0.0	-5.265652026036949	1.0		0.0	-7.147801696687912	1.0		0.0	-10.341197426752307	1.0	-11.58055299579365	1.0		0.0	-7.989532400703216	2.0		0.0
samp_66	3.4885191917184066	-3.751383183198839	1.0		0.0	-6.411037469710595	1.0	-2.2788026067909644	1.0	-6.379797061364821	1.0		0.0	-3.2206145929575585	1.0		0.0	-4.434002997957753	2.0	-3.9527413030639846	1.0		0.0	-8.370869529051431	1.0	-0.9528613190135735	1.0		0.0	-2.51888630490818	1.0	-1.1611293422947573	2.0		0.0	-25.277147161177993	3.0	-1.3721380192731996	1.0	-4.923286145758978	1.0	-4.917361670381939	3.0	-4.990688339926052	5.0		0.0		0.0	-6.966465527660547	1.0	-7.217651049673773	2.0		0.0	-8.806186174502809	2.0		0.0	-8.885063873513534	4.0	-8.694111548591833	1.0		0.0		0.0		0.0		0.0	-10.308922724247052	1.0		0.0		0.0	-25.54297110716179	2.0	-8.027138839165525	1.0	-1.6573378298403878	1.0
