run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-0.26739054665989376	-2.5502853645741683	1.0	-1.1772732871926035	1.0	-4.552559206177022	1.0	-4.067583111317635	1.0	-2.2354475326051673	1.0	-2.736316826775451	1.0	-1.2171438739939173	1.0	-5.0200286075538125	1.0
samp_00	-0.3261434354265453	-2.563152060830494	1.0	-1.1910504943944387	2.0		0.0	-4.080115913377076	1.0		0.0	-2.749136104061355	1.0	-1.2310253988467104	3.0		0.0
samp_01	-0.22565805220566726	-2.5408641774905805	1.0	-1.1671470074421548	3.0	-4.54346194309358	1.0		0.0		0.0		0.0	-1.2069424675897893	2.0	-5.011000945663048	1.0
samp_02	-0.3108413911085211	-2.5598461378031683	2.0		0.0		0.0	-4.076890966233118	1.0	-2.2451457019411225	2.0		0.0	-1.227464413507751	2.0	-5.029206312882153	1.0
samp_03	-0.38649046059940767		0.0		0.0		0.0	-4.092551326952112	3.0	-2.2614128150297432	2.0		0.0	-1.2447112326647871	1.0	-5.044666702914973	2.0
samp_04	-0.3429758800183163	-2.5667554887472916	1.0	-1.194895748876111	1.0		0.0	-4.083629486166048	3.0	-2.252149087014144	1.0	-2.7527272032278174	2.0		0.0		0.0
samp_05	-0.2223575207106922		0.0	-1.166336176985531	2.0	-4.542741336226023	1.0		0.0	-2.2251128014231676	1.0	-2.7261797560045196	4.0		0.0		0.0
samp_06	-0.2635172745205371		0.0	-1.1763444258931226	3.0	-4.551727731867267	1.0	-4.066744673597817	1.0	-2.234567137780547	1.0	-2.735454626759282	2.0		0.0		0.0
samp_07	-0.3007845890123616	-2.557655061440289	1.0	-1.185171892048338	2.0		0.0	-4.074758562030395	1.0	-2.2429240391268244	3.0	-2.743658790730559	1.0		0.0		0.0
samp_08	-0.20753276474475799	-2.536700185592605	1.0	-1.1626596602952397	1.0	-4.539445472181063	3.0		0.0	-2.2216592685719623	1.0		0.0	-1.2024222332348389	1.0	-5.007016590166243	1.0
samp_09	-0.27086658457819085	-2.5510606583351025	1.0		0.0	-4.5533073880790464	2.0	-4.068336540300202	2.0		0.0		0.0	-1.2179819822952311	1.0	-5.020769037603317	2.0
samp_10	-0.27327574615936623	-2.5515946217828622	2.0		0.0		0.0	-4.068858186684236	1.0	-2.236776429401985	2.0		0.0	-1.2185593947271895	1.0	-5.021283848454653	2.0
samp_11	-0.28214441741769486		0.0	-1.1807841760550517	2.0	-4.5557239592775085	2.0	-4.070770353120611	1.0	-2.2387708426432336	1.0	-2.7395796205232514	1.0	-1.220679660541801	1.0		0.0
samp_12	-0.24876278948975475	-2.546107173119709	1.0	-1.172789516275084	1.0		0.0		0.0	-2.2312091800213585	3.0	-2.73215663994173	2.0		0.0	-5.0160227792595125	1.0
samp_13	-0.36966393204449083		0.0	-1.2009008989250072	2.0		0.0	-4.089128714570008	2.0	-2.257861503701669	1.0		0.0	-1.2409520582458096	2.0	-5.041285764377753	1.0
samp_14	-0.29384822665329546	-2.556133996018678	1.0		0.0	-4.55822038190174	1.0		0.0	-2.241383078688781	3.0		0.0	-1.2234637290425197	2.0	-5.0256461342875705	1.0
samp_15	-0.23294048375052848	-2.5425233468773922	1.0		0.0	-4.54506471855701	2.0		0.0		0.0	-2.728587684470337	3.0	-1.2087441696645804	2.0		0.0
samp_16	-0.3330159192396688		0.0	-1.1926231634058955	1.0	-4.566441874109862	1.0	-4.081554141276872	1.0	-2.249993861095203	2.0		0.0	-1.2326120264602074	2.0	-5.03380871404183	1.0
samp_17	-0.20628525254357674	-2.5364110897799077	3.0	-1.1623486265162917	3.0		0.0	-4.054097539604988	1.0		0.0	-2.722498669464296	1.0		0.0		0.0
samp_18	-0.26042510249111345	-2.548728848339403	1.0		0.0	-4.551055837831484	1.0		0.0	-2.233868746558246	4.0	-2.734766176818668	1.0		0.0	-5.018534434052158	1.0
samp_19	-0.2968214825291466		0.0	-1.184243630416709	1.0	-4.558849058730109	1.0	-4.073914343321824	2.0	-2.2420456395440778	1.0	-2.742795199260705	2.0		0.0	-5.026270390454279	1.0
samp_20	-0.24598345144655806	-2.5454826751132393	1.0	-1.1721142783721519	2.0	-4.547918129133322	2.0	-4.06291088340258	1.0		0.0	-2.731532510026438	1.0	-1.2119457249338694	1.0		0.0
samp_21	-0.442268568389777		0.0	-1.2166811271352733	2.0		0.0	-4.103653982124833	3.0		0.0		0.0	-1.2568569767334772	3.0		0.0
samp_22	-0.24990775536501705	-2.5463654507016598	1.0	-1.173066716991726	1.0		0.0		0.0		0.0	-2.7324142908182876	4.0	-1.2129058202881398	2.0		0.0
samp_23	-0.2580144790547469		0.0	-1.1750228165973484	3.0	-4.55053360659014	2.0		0.0	-2.233320487381022	2.0		0.0	-1.2148767851500977	1.0		0.0
samp_24	-0.27996650842346416	-2.5530778949238075	2.0		0.0	-4.555259594619812	1.0	-4.070301066687104	1.0	-2.2382814428643476	1.0		0.0	-1.2201611557082779	2.0	-5.022707270636325	1.0
samp_25	-0.29814012768182	-2.5570769574549574	1.0	-1.184553060944128	2.0		0.0	-4.074195320530114	1.0	-2.2423374437407064	2.0		0.0	-1.2244785434752352	1.0	-5.026547924845665	1.0
samp_26	-0.3131746370543641		0.0	-1.1880556947646062	1.0		0.0	-4.077386200094437	1.0	-2.2456586202127644	2.0	-2.7463455303858755	2.0	-1.2280083900046879	1.0	-5.029695605319658	1.0
samp_27	-0.2795463445845519		0.0	-1.1801664684888693	1.0	-4.555170006289527	3.0	-4.070212383700946	1.0		0.0	-2.7390086424514366	1.0	-1.220061514173845	2.0		0.0
samp_28	-0.24514357955961397	-2.5452916581702745	3.0		0.0	-4.547735712541951	2.0	-4.062725140176036	1.0		0.0		0.0	-1.2117435048842709	2.0		0.0
samp_29	-0.22777069877180778		0.0		0.0		0.0		0.0	-2.2263769442122667	2.0	-2.727413609223674	3.0		0.0	-5.011462313791686	3.0
samp_30	-0.19190541658478366	-2.533072214208934	3.0	-1.1587479160276113	2.0	-4.5359497341153725	2.0	-4.0508557713931195	1.0		0.0		0.0		0.0		0.0
samp_31	-0.26716755125475194		0.0		0.0	-4.552511713384352	1.0	-4.067535155186959	1.0	-2.23539698985725	2.0	-2.736267065854371	2.0		0.0	-5.0199792357582815	2.0
samp_32	-0.24327383670295932	-2.5448723345130215	1.0	-1.1714509195342595	2.0		0.0		0.0	-2.229947566010985	2.0		0.0	-1.2112860101694454	1.0	-5.014840147350567	2.0
samp_33	-0.2298509674641711		0.0	-1.1681772403463562	1.0	-4.544385531722107	4.0	-4.059352794610274	1.0	-2.2268581611030416	1.0		0.0		0.0	-5.0119170015289765	1.0
samp_34	-0.18472415847800022	-2.5313886251664544	4.0		0.0		0.0		0.0	-2.216265413710361	1.0		0.0	-1.1966513880127874	1.0	-5.00194629664022	2.0
samp_35	-0.2536736208025184	-2.547214255683599	2.0		0.0		0.0	-4.064595728621037	1.0	-2.232332652872966	1.0	-2.7332581582474442	1.0	-1.2138209900794923	1.0	-5.017082774833232	2.0
samp_36	-0.29782357412395793	-2.557008223097559	1.0	-1.1844773124401808	1.0		0.0	-4.074127620748505	1.0	-2.2422678734309534	2.0	-2.7430137947255773	1.0	-1.2244027422029502	1.0	-5.026481058568065	1.0
samp_37	-0.23254640748542035	-2.542434940105213	2.0	-1.16883957872992	1.0		0.0	-4.059948594585815	1.0		0.0	-2.728498383611839	1.0	-1.2086425802415313	1.0	-5.012504724572654	2.0
samp_38	-0.293131909000693		0.0	-1.1833777034429578	1.0	-4.558065834317148	1.0	-4.073125573887893	1.0	-2.241224120674124	2.0		0.0	-1.2232939036470032	1.0	-5.025493963262011	2.0
samp_39	-0.20875361126538292	-2.536981201127542	1.0		0.0	-4.539716768538423	2.0	-4.054651294348522	1.0		0.0	-2.7230666770708014	2.0		0.0	-5.007285772867276	2.0
samp_40	-0.23812529494928406	-2.54370523348841	1.0	-1.1702015508302273	1.0	-4.546201370350019	1.0	-4.061182067256074	1.0		0.0	-2.7297627839049388	1.0	-1.2100198460293639	1.0	-5.0137193537434515	2.0
samp_41	-0.2729258975052481	-2.551516771572492	1.0		0.0	-4.553750339269287	1.0		0.0	-2.236697408195465	2.0	-2.7375434955154563	1.0	-1.2184755262080758	2.0	-5.0212095544079745	1.0
samp_42	-0.2591073447482826	-2.548435627329517	1.0		0.0	-4.550770866407627	2.0	-4.065782628646995	1.0	-2.233571083781303	1.0	-2.7344739456072205	1.0	-1.2151410912623772	1.0	-5.018251959209074	1.0
