run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_30	-1.7975330327268964	-4.813276366196109	2.0		0.0		0.0	-4.454849499142605	1.0	-0.6280909418756536	3.0	-4.51270393342834	1.0		0.0		0.0	-1.6421806436800166	3.0	-4.015099553334367	1.0	-4.411680650551641	2.0		0.0		0.0	-0.33638673835522914	2.0		0.0
samp_31	-1.7283301372290372	-4.838737659737813	4.0		0.0		0.0	-4.4788629201367325	1.0		0.0		0.0	-4.654658521221841	2.0	-4.974172828616738	2.0	-1.6391157991842087	4.0		0.0	-4.435286787344791	1.0		0.0		0.0	-0.3378986643069325	1.0		0.0
samp_32	-1.806512490155151		0.0	-2.3133527027672653	4.0		0.0	-4.451707892292344	1.0	-0.6282047114502523	1.0	-4.509469857856952	1.0	-4.626793241119107	2.0	-4.944896592670875	1.0		0.0	-4.012347881842492	1.0	-4.408593489365774	2.0		0.0	-4.522139024065474	1.0	-0.3361806063329528	1.0		0.0
samp_33	-1.2801913094688187	-4.995606662348652	1.0	-2.3064499283408137	1.0		0.0	-4.6248535409852405	1.0	-0.6202187033534227	2.0	-4.689127425266426	1.0	-4.80541231964692	1.0	-5.134337422101001	1.0	-1.6128766366527512	1.0	-4.158605591186922	1.0	-4.578186504637717	1.0	-7.405949882099716	1.0		0.0	-0.3442303989235476	1.0	-4.992314571084576	2.0
samp_34	-1.3135364333869017	-4.984483926507534	2.0	-2.3079786914354314	1.0		0.0		0.0		0.0	-4.678432923169561	2.0	-4.794799399165394	2.0	-5.122955656561747	1.0	-1.6150258276175276	1.0	-4.150306827145633	1.0	-4.568210091299929	2.0	-7.390549671457723	1.0		0.0		0.0	-4.980796265875258	2.0
samp_35	-1.3677961752128371	-4.966182048255241	3.0		0.0		0.0		0.0	-0.6216910157272701	1.0		0.0	-4.777284230081967	3.0	-5.104196272709102	1.0	-1.6185259052955017	2.0	-4.136510479219613	2.0		0.0		0.0		0.0		0.0	-4.96184901728022	3.0
samp_36	-1.3191634081256456	-4.98259454737465	1.0	-2.3081962433103316	1.0		0.0	-4.612892172720273	3.0	-0.620870652715154	3.0		0.0	-4.792988863061929	1.0		0.0		0.0	-4.148893514216701	1.0	-4.5665201809183324	1.0	-7.387945621825266	1.0		0.0	-0.3438618508805366	1.0	-4.978840642508094	2.0
samp_37	-1.4923810521646508	-4.923222992979853	3.0	-2.313882598316241	3.0	-4.7660447583360295	2.0		0.0		0.0		0.0		0.0	-5.060292662157518	1.0	-1.6262720603576535	3.0		0.0		0.0	-7.307537746328147	1.0	-4.633841869718169	2.0		0.0		0.0
samp_38	-1.3700208612477907	-4.965421616482842	1.0		0.0		0.0		0.0	-0.6217251240902278	2.0		0.0	-4.7765668564575225	3.0	-5.10342702012748	1.0		0.0		0.0	-4.551065287644055	3.0	-7.364397382743517	1.0	-4.675294600829724	2.0	-0.3433415989712197	2.0		0.0
samp_39	-1.2989691706022548	-4.9893531468419505	1.0	-2.3073103158132704	1.0	-4.830323796855524	1.0	-4.619110291150968	1.0	-0.6205269833796911	2.0	-4.683122253118507	1.0	-4.799443015526738	2.0		0.0	-1.6140979003822262	2.0		0.0	-4.572587223928772	1.0	-7.397281623686638	2.0		0.0		0.0	-4.985836914060052	1.0
