name	location	log_t_250.0	dlog_t_250.0	log_t_125.0	dlog_t_125.0	log_t_50.0	dlog_t_50.0	log_t_25.0	dlog_t_25.0	log_t_10.0	dlog_t_10.0	log_t_5.0	dlog_t_5.0	log_t_2.5	dlog_t_2.5	log_t_0.0	dlog_t_0.0
c71r18.10L01	b2F3	2.10429763634672	0.2795196789019822	1.6078566851765053	0.14581914719198166	1.060986594597111	0.09771078869983862	0.6305784022417027	0.2070698589179018	0.23644541736607053	0.07576678308922134	-0.9540575884599929	0.06081828478948222	-1.381149474592303	0.09041850657899085	-1.1766878964375571	0.29709535420962746
c71r18.10L03	b2F5	2.347573081114658	0.32849204390266296	1.99256521262262	0.06157774899456588	1.7085844961904872	0.027214244884553707	1.4706439732630654	0.06642314821324476	1.30809962122542	0.04953013852030687	0.6499192669195637	0.018369678012678383	0.28423254343122084	0.04209905803020247	0.5334025732171535	0.21561813907399827
c71r18.10L04	b2F6	-4.515713393039224	1.41139503010658													-5.639047705089472	0.3735804592070701
c71r18.10L05	b2F7	1.7419612592516636	0.27695928412233584													-2.2629074949433114	0.1285586067159075
c71r18.10L06	b2F8	1.8303680966697435	0.22421776066018423													-2.2307292570924186	0.060900190749105174
c71r18.10L07	b2F9	-4.062685950131229	0.520226421344127													-6.021306154067066	1.1394860177965083
c71r18.10L09	b2G2	-3.133318492845315	1.3710700636520188													-5.413596910497078	0.8082475913746605
c71r18.10L10	b2G3	1.7921150963815506	0.23033508128613034	1.152568829391357	0.08866738956635775	0.5290433613977112	0.04511539442678423	-0.023148793608672388	0.15167731653594155	-0.6944162252998951	0.10185089328052682	-1.8428340097990228	0.10202582564236065	-2.4406536305853623	0.0919441881914553	-2.2958748716178734	0.32062946019327304
c71r18.10L11	b2G4	2.773999494740825	0.34278472152844824	2.653682904821792	0.06797415274139883	2.4238929704507823	0.08447626564156685	2.369311725157975	0.06453859755359513	2.46272602314095	0.16649188908778478	2.057375705826689	0.09020099023275148	2.107528042208794	0.035436769224308294	1.6917676668205543	0.29505349959698113
c71r18.10L12	b2G5	0.5233718801943266	0.15319883123024006													-3.7536812209586277	0.18256725924750547
c71r18.10L13	b2G6	1.7846445338508379	0.24224260212844242													-2.3761292056728234	0.1818596196072914
c71r18.10L14	b2G7	2.0361197264975	0.17498770987612614	1.4640766116992396	0.1477204907206122	0.8949863461502248	0.11900816353493852	0.3766761396133712	0.23973511338423514	-0.1924516949301504	0.030984350764407843	-1.366693436560122	0.0579453346812534	-1.7751584821981492	0.10800001044976483	-1.6845716284822547	0.2661331613301137
c71r18.10L15	b2G8	1.9961506261584445	0.19460737423135077	1.5312033313275337	0.0867905896360034	0.8163862291943903	0.07748597393924252	0.43442157702383316	0.0590007267632046	-0.36132795801323	0.08472612120682037	-1.4257258334444123	0.04034515708945697	-2.0261352854887713	0.09743618426374336	-2.0419084501726505	0.25255492785954503
