run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-4.016971439883544	-5.2564286648864	1.0	-2.4784181311535343	1.0	-4.987259576912265	1.0	-4.828137154814793	1.0	-0.7015983903242645	1.0	-5.002511154815482	1.0	-5.018011162318658	1.0	-5.338478463634557	1.0	-1.816157617520265	1.0	-4.290548270147554	1.0	-4.7709205648011235	1.0	-7.285852758166869	1.0	-4.534583705525878	1.0	-0.15329366322290294	1.0	-3.723815494641919	1.0	-4.233677232406058	1.0	-4.759466122402645	1.0	-5.912230193593161	1.0
samp_00	-3.986717421032098	-5.266385328143935	4.0		0.0	-4.997077292503592	2.0		0.0		0.0		0.0	-5.027870032431714	1.0		0.0	-1.8225604546406335	1.0		0.0	-4.7806582975226615	2.0	-7.296416903563468	1.0		0.0	-0.1595176815009928	2.0		0.0	-4.243307588543146	3.0	-4.769181109045804	1.0	-5.922135208783587	1.0
samp_01	-4.093232978049472	-5.231791787936902	1.0	-2.4590030562810816	1.0	-4.962949723665846	2.0	-4.803965557950393	1.0		0.0	-4.978190598396341	1.0		0.0	-5.313759172797328	2.0	-1.7999538609237034	2.0		0.0	-4.746805877381602	2.0		0.0		0.0	-0.13732948396146408	1.0	-3.700078296619918	1.0	-4.2098018394296925	1.0	-4.735419167092942	3.0		0.0
samp_02	-4.7485124801865295	-5.048999547600558	1.0	-2.305963632064062	1.0	-4.7820734869036166	3.0	-4.623847354820229	3.0	-0.5800015489796795	1.0	-4.797250565897956	1.0		0.0	-5.130572056431396	1.0	-1.6649761491130044	1.0	-4.0901930775506505	2.0	-4.566974090029337	2.0		0.0		0.0		0.0	-3.5211683350114833	2.0		0.0		0.0		0.0
samp_03	-4.133445271206475	-5.219063654090692	1.0	-2.448850922172648	1.0	-4.950394079149149	1.0	-4.791482163906487	2.0		0.0	-4.965629442079226	1.0		0.0	-5.30099864888453	1.0	-1.7913701580063766	2.0	-4.254762983770613	1.0	-4.734351540179393	2.0		0.0	-4.498208749355358	3.0		0.0	-3.6877958237829995	1.0		0.0	-4.72299588185627	1.0	-5.87513525565176	1.0
samp_04	-3.481797916079208		0.0	-2.617465744414963	1.0		0.0		0.0	-0.7653531335261293	2.0	-5.189866365943972	1.0		0.0		0.0	-1.92334917550766	2.0	-4.470591255364905	1.0	-4.956194039100219	1.0		0.0	-4.718231332055168	1.0	-0.25094183398782466	2.0		0.0	-4.416036419280647	3.0	-4.944156768591977	2.0	-6.102911705378928	2.0
samp_05	-4.32331772489807		0.0	-2.402072258344779	1.0	-4.893598506180061	1.0	-4.734972082131462	2.0		0.0	-4.908814251370502	2.0		0.0	-5.243376405594623	3.0	-1.751109818612046	2.0		0.0	-4.677939207207037	1.0	-7.187305991352244	2.0		0.0	-0.08730067514581119	2.0	-3.63197518591735	1.0	-4.141471375490466	1.0		0.0		0.0
samp_06	-3.4684300369488343		0.0	-2.6209064577075627	2.0		0.0		0.0		0.0	-5.194883504215992	2.0	-5.2108994010581995	1.0	-5.534878688743019	1.0		0.0	-4.475369228036242	1.0		0.0	-7.5006897866222415	2.0	-4.723127825601799	1.0	-0.2530116427076698	1.0	-3.908728614119013	1.0	-4.420877643890671	2.0	-4.94909052369156	2.0	-6.108063252620871	2.0
samp_07	-4.194765548877255	-5.200028106045868	1.0		0.0	-4.931594028705728	1.0	-4.772786483984096	1.0	-0.6739671614850248	1.0	-4.946823164644544	2.0	-4.962194958619988	1.0		0.0		0.0	-4.236494531531194	2.0	-4.715683591923065	3.0		0.0	-4.47966773727091	2.0	-0.11553579888777178	1.0		0.0		0.0	-4.704376364885992	1.0	-5.856254623916181	2.0
samp_08	-4.197913398847487	-5.199064484400254	2.0	-2.43280079130811	1.0		0.0		0.0	-0.6734918304929758	1.0	-4.945868627562944	2.0	-4.961236240766453	2.0	-5.280942794643903	2.0	-1.777614002418855	1.0	-4.235563533304608	1.0	-4.714736619787125	1.0		0.0		0.0		0.0	-3.6684279111901623	2.0	-4.17801936237524	1.0	-4.70344602728487	1.0	-5.855277335524816	1.0
