run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-2.72055131010173	-5.05440168952726	1.0	-2.4234353581555035	1.0	-4.911715351563805	1.0	-4.6361280775281735	1.0	-0.5998676600918722	1.0	-4.87004291120079	1.0	-4.8036009020374655	1.0	-5.221179331085071	1.0	-1.766104485336204	1.0	-4.126649424321112	1.0	-4.631509551503841	1.0	-7.604399090392371	1.0	-4.718610328189063	1.0	-0.2924410529561274	1.0	-3.9930314290928477	1.0	-4.427357783371742	1.0	-5.022440762935953	1.0	-6.137571692865297	1.0
samp_00	-2.938770035721895	-4.96718058197955	2.0	-2.380805779467381	1.0	-4.825392342303023	2.0		0.0		0.0	-4.783889866431308	1.0	-4.717980195539524	3.0	-5.132929420184835	1.0	-1.7463658444875798	3.0	-4.046819915992561	1.0		0.0	-7.495311390624069	1.0		0.0		0.0	-3.911150837349529	1.0	-4.342853809650648	1.0	-4.935119450512703	1.0		0.0
samp_01	-2.5707482194440106	-5.1149474461375535	4.0		0.0	-4.971540356420028	1.0		0.0	-0.6074404297187574	1.0		0.0		0.0		0.0	-1.7741033981777967	1.0	-4.181283692871195	2.0	-4.6896800116124995	1.0		0.0	-4.777959984081846	2.0		0.0	-4.0491479263325845	1.0	-4.485631579659164	1.0	-5.083047826634573	3.0	-6.202571113825053	1.0
samp_02	-2.908331541641752		0.0	-2.3871306428738057	2.0	-4.837351584425389	2.0	-4.563300438559094	2.0		0.0	-4.795835163406485	1.0		0.0		0.0	-1.749666282175943	2.0	-4.057936381770943	2.0		0.0	-7.5101609365833815	1.0		0.0	-0.2740903044969736	3.0	-3.9225525312776286	1.0		0.0	-4.947209269529558	1.0	-6.057705985224977	1.0
samp_03	-2.60011332139134	-5.103046568985913	1.0	-2.4438442412323806	2.0		0.0		0.0	-0.6061406505245496	2.0		0.0	-4.851225361047143	2.0	-5.270485969390583	1.0	-1.7729035106371138	1.0		0.0		0.0	-7.667174546058275	4.0		0.0	-0.30222197924997996	1.0		0.0	-4.4742057061851135	3.0	-5.071134975898904	1.0		0.0
samp_04	-2.6760591019143867	-5.072337666905629	1.0	-2.431248843904068	1.0	-4.9294480866661265	1.0	-4.653450848178233	2.0	-0.602369293240371	3.0		0.0		0.0		0.0	-1.7689630412196347	2.0		0.0	-4.6487778385125615	1.0	-7.627383437988033	3.0	-4.73621188059756	1.0		0.0	-4.009727427754196	1.0	-4.4446523768583175	2.0		0.0		0.0
samp_05	-2.62198227455631	-5.094191391422326	2.0	-2.4403212007551573	1.0		0.0	-4.674554115931249	1.0		0.0	-4.909278779062208	1.0	-4.842570311210442	2.0	-5.261503458963342	1.0		0.0	-4.162620625788854	1.0	-4.669785697650948	1.0		0.0	-4.757642245897235	2.0	-0.30055866431662626	1.0		0.0	-4.465698869616349	1.0	-5.062276414161329	4.0		0.0
samp_06	-2.4735164701494634	-5.15441091186036	2.0		0.0	-5.01048783704351	1.0	-4.732463599441543	1.0	-0.6111583157798416	2.0		0.0		0.0	-5.32262093088696	1.0		0.0	-4.216520332947629	1.0	-4.72744385939948	1.0	-7.735053348234537	1.0	-4.816553952896556	1.0		0.0	-4.085382065649397	2.0	-4.523433761646406	3.0		0.0	-6.24527224786822	2.0
samp_07	-2.5345779697378275	-5.129611153489159	2.0	-2.453863820474525	1.0	-4.986024801976489	1.0	-4.7086525909848875	2.0		0.0	-4.944163534838564	2.0	-4.8771995726086566	1.0		0.0		0.0		0.0		0.0	-7.702074990922252	1.0	-4.79231883382053	1.0	-0.30695298965588713	1.0	-4.062653705699137	4.0	-4.49970427139665	1.0		0.0	-6.218414364202702	1.0
samp_08	-2.6838675840193824		0.0	-2.4299116331603954	2.0		0.0	-4.650417822045334	1.0	-0.6019464382539417	1.0	-4.884627614027378	2.0	-4.818089437142441	1.0	-5.236161439194338	1.0	-1.7684999197145599	1.0	-4.140052421428277	1.0	-4.645744324445276	1.0	-7.623330998726073	1.0		0.0		0.0	-4.006796377010464	3.0		0.0		0.0	-6.153393300890041	3.0
