run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
samp_77	-2.196508257055581		0.0	-2.407217374663675	2.0	-4.704868685802545	1.0	-4.588390093286489	1.0	-0.6476362435104456	2.0		0.0		0.0		0.0	-1.7174629923535183	5.0		0.0	-4.535552092931652	1.0		0.0	-4.6298965661108715	3.0	-0.31866162738166726	1.0	-3.9368078770559514	1.0	-4.392266195141262	1.0		0.0		0.0
samp_78	-1.9213876671715189	-5.074753303829189	2.0	-2.422419154691517	1.0	-4.809485850543646	1.0	-4.690630258746901	1.0		0.0	-4.769593059766361	2.0		0.0	-5.189313417477209	1.0		0.0	-4.199799124451903	3.0		0.0	-7.5894730977749205	2.0	-4.735046044748288	3.0		0.0		0.0		0.0	-4.990448510500455	1.0	-6.067971940587045	1.0
samp_79	-2.086236707350209	-5.010642928216891	2.0		0.0		0.0		0.0	-0.6466001021412251	1.0	-4.707336374819652	1.0	-4.7752841089862	2.0	-5.124327126552698	1.0	-1.7145309860093152	3.0	-4.145437506845899	1.0	-4.576430009109926	2.0	-7.504185567302095	2.0		0.0		0.0	-3.9761267232956583	2.0		0.0	-4.925790803594242	1.0		0.0
samp_80	-1.8399867813217012		0.0	-2.4238138837971444	2.0	-4.839803220067352	2.0		0.0		0.0	-4.799864845424613	2.0	-4.867632144270889	2.0		0.0	-1.7018179464969612	1.0	-4.225851791714053	1.0		0.0	-7.632099288370084	3.0		0.0	-0.33168348533839886	1.0	-4.06114148190337	1.0	-4.524497423937064	1.0	-5.022003098665124	2.0		0.0
samp_81	-2.1397650056472766	-4.989642908666092	1.0	-2.4116800461818313	1.0	-4.726671275385688	2.0	-4.609738007420636	3.0		0.0		0.0	-4.754879650428068	1.0	-5.103061692899021	2.0	-1.7161857424134126	2.0		0.0	-4.556649848688696	2.0	-7.476825293434152	1.0	-4.651807397265492	1.0		0.0	-3.957127226950553	1.0		0.0	-4.904611873840023	1.0		0.0
samp_82	-1.91804681001416	-5.076042581418461	1.0	-2.4225030497103366	1.0	-4.810735526651835	2.0	-4.691853825783469	1.0	-0.6440466189349637	3.0	-4.77084310293636	1.0		0.0		0.0		0.0	-4.200877068404483	1.0	-4.637695426014003	2.0		0.0	-4.736301405807083	2.0		0.0	-4.0346645536505985	2.0	-4.49610682880485	2.0		0.0		0.0
samp_83	-2.1391472494416286	-4.989885741015983	3.0	-2.4117274785836162	1.0		0.0	-4.609965663437376	3.0		0.0	-4.687126653146505	1.0	-4.755112700130828	2.0	-5.103308474427207	1.0		0.0	-4.127583018357456	2.0	-4.556880970449438	1.0		0.0	-4.6520475014038665	1.0		0.0	-3.9573452208820816	1.0	-4.413931783931804	1.0	-4.904858994677183	1.0		0.0
samp_84	-1.6963665261058007		0.0	-2.4229297352316213	1.0		0.0		0.0	-0.6394868690673492	1.0		0.0	-4.920056372886987	2.0		0.0		0.0	-4.270404482300444	2.0	-4.715932144079695	2.0	-7.70803232836526	1.0	-4.818428260589323	1.0		0.0	-4.108633482809988	2.0	-4.575769859527291	2.0	-5.076924359885817	3.0	-6.16305280015032	1.0
samp_85	-1.6474700901859942	-5.17872431047383	1.0	-2.421715891136293	2.0		0.0		0.0		0.0		0.0		0.0	-5.294950797618292	1.0	-1.6874534254970979	2.0		0.0	-4.7327328290307555	2.0	-7.734051817736122	1.0	-4.836132127026144	3.0		0.0	-4.1244000371623	1.0		0.0	-5.095375528177045	4.0	-6.183551670785263	1.0
samp_86	-2.371375707077383		0.0	-2.3892633007884765	1.0		0.0	-4.521994018398493	1.0	-0.647820284465701	3.0	-4.597462105707995	2.0	-4.665651045931554	1.0	-5.010480399775867	1.0		0.0	-4.047305592848417	6.0		0.0		0.0		0.0	-0.30932501927570744	1.0	-3.873201443569405	2.0		0.0		0.0		0.0
samp_87	-2.158573835608034	-4.9822462999277715	1.0		0.0		0.0	-4.6026753965029	2.0	-0.6473434891583617	2.0		0.0	-4.747685334258676	3.0		0.0	-1.716670235225272	3.0	-4.120983020309859	1.0		0.0	-7.467256062767393	2.0	-4.644555641312312	1.0	-0.3203979267791905	2.0		0.0		0.0	-4.897154426317281	1.0		0.0
samp_88	-1.8384618552780445	-5.106609552968513	1.0	-2.423825628074789	1.0	-4.840371113410751	1.0	-4.72072286018316	4.0	-0.6425277156054797	3.0		0.0		0.0	-5.2216424402309185	1.0		0.0		0.0		0.0	-7.632905080411514	1.0		0.0	-0.3317219930861816	1.0	-4.061670502303963	1.0	-4.52506115315692	2.0		0.0	-6.103129775676413	2.0
samp_89	-1.876515784284216	-5.092025656338518	2.0	-2.4233638591417863	1.0	-4.826236774455758	1.0		0.0	-0.643274556337392	2.0	-4.78632285379343	2.0		0.0	-5.20683796521698	1.0	-1.7041553519135517	1.0		0.0	-4.652589732668453	2.0	-7.612943492831578	1.0		0.0	-0.3306430397448085	1.0	-4.048810249594512	1.0		0.0		0.0	-6.087019228020066	3.0
samp_90	-1.6762200913708718		0.0	-2.4224903843920225	1.0		0.0		0.0	-0.6390423691016748	1.0	-4.859647441807915	2.0		0.0	-5.284026850645266	1.0	-1.6897744601403655	2.0	-4.276488269686628	1.0		0.0	-7.718738334126024	3.0		0.0	-0.3356399328412103	3.0	-4.115149401601926	1.0		0.0	-5.084537694060751	1.0	-6.1715054701217085	2.0
samp_91	-2.1524925713471896	-4.98464042113645	4.0	-2.410739580331837	3.0		0.0		0.0	-0.6472887308235074	3.0	-4.682011190902004	1.0		0.0		0.0		0.0		0.0	-4.551930393211342	2.0	-7.470350168243437	1.0	-4.64690045637952	1.0	-0.3206681465889028	1.0	-3.9525711708888664	1.0		0.0		0.0	-5.9696391632227215	1.0
samp_92	-2.2221764901223953	-4.957181489046629	1.0	-2.404998472860999	1.0	-4.694975537207322	2.0		0.0	-0.6477776515173398	2.0		0.0	-4.723281139568103	1.0	-5.070209363056311	2.0	-1.717858986668329	1.0	-4.099214944331001	3.0		0.0	-7.435060004209485	3.0		0.0	-0.31743016397996077	1.0		0.0	-4.3825373580634714	1.0		0.0		0.0
samp_93	-1.510792037346181	-5.229036981607642	1.0	-2.4160113654321704	1.0	-4.958433749921015	2.0		0.0	-0.6351218785736777	2.0		0.0	-4.9858036602675275	1.0	-5.346201930530505	1.0		0.0		0.0		0.0		0.0		0.0	-0.33868092239191694	1.0		0.0	-4.639821623360566	4.0	-5.146197297827876	1.0	-6.240424040639539	4.0
samp_94	-1.8629875955532487	-5.0972190893308795	1.0		0.0	-4.831273938632143	1.0		0.0	-0.643013507359197	1.0	-4.791346217308382	3.0	-4.859131042714178	2.0		0.0	-1.7033155009453171	2.0	-4.21855031077744	2.0		0.0	-7.620021820259653	1.0		0.0		0.0	-4.053416037054115	1.0	-4.516178961994178	2.0	-5.0131164244739805	1.0	-6.092742529056604	1.0
samp_95	-1.7309984863251013		0.0		0.0		0.0		0.0	-0.6402611728424611	1.0	-4.839834031971908	2.0	-4.9075275483495515	4.0		0.0		0.0	-4.259833610213297	1.0	-4.703922838481848	1.0	-7.689639686962372	1.0	-4.805773401922987	2.0	-0.3344229544294938	1.0	-4.097339496095685	3.0		0.0	-5.063777262512371	2.0		0.0
samp_96	-1.6656447372751972		0.0		0.0		0.0	-4.782068131853578	1.0		0.0	-4.863451031298187	2.0	-4.9310997383066155	2.0	-5.288054545985734	1.0	-1.6889214484952384	1.0		0.0	-4.726508147179349	1.0	-7.724370586877061	2.0	-4.829569173758473	2.0	-0.33585556820350676	1.0	-4.118562394056538	2.0	-4.586553933755949	1.0	-5.088537006528848	1.0	-6.175940452130872	1.0
samp_97	-1.4917457345001153	-5.235958077134921	1.0		0.0		0.0	-4.841623996835302	1.0	-0.6347323857393684	2.0		0.0	-4.992422806571686	2.0	-5.3532614883546294	1.0		0.0		0.0		0.0	-7.8173961476594345	2.0	-4.891475283319735	1.0	-0.3389867843400112	1.0	-4.173102921739737	2.0		0.0	-5.15318217919604	1.0	-6.2482926644144685	4.0
samp_98	-2.0360093233025056	-5.030272374765351	1.0	-2.4180544530434345	1.0	-4.766254359236123	1.0	-4.648445124480186	1.0	-0.6459389899343169	2.0		0.0	-4.794333868595166	1.0		0.0	-1.7126105074648086	1.0	-4.1622098472140285	3.0		0.0		0.0	-4.691594113938687	2.0	-0.3253782707696337	2.0		0.0	-4.452551605818487	1.0	-4.945586537233664	1.0	-6.01924098241637	1.0
samp_99	-1.9354056916869322		0.0		0.0	-4.804229771185458	1.0	-4.685510736000103	2.0	-0.6443535127951616	2.0	-4.764347165434112	1.0	-4.832180532794106	2.0	-5.183817765395475	2.0		0.0		0.0	-4.631440988956777	3.0		0.0		0.0		0.0	-4.0287109022485605	2.0	-4.489743992354386	1.0	-4.984991880034106	1.0	-6.062022518391852	1.0
