run	log_tbg	log_alphap	log_betap	b1A1_log_P	b1A1_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight
samp_45	-5.42622941457712	6.649163480957086	0.0278973353484507	-4.368956935269261	1.0	-8.190946251690386	3.0		0.0		0.0	-4.944959833744518	2.0	-4.754381388872225	1.0	-7.848903257586072	2.0	-4.496922649365843	1.0	-5.603580050060903	4.0	-3.721811826156226	1.0		0.0		0.0		0.0	-11.014767734565396	1.0	-4.85382863644553	3.0		0.0		0.0		0.0	-4.015513378350533	3.0	-5.431259276152348	1.0		0.0		0.0	-10.973300891746606	1.0		0.0	-10.508953954391556	1.0	-5.863939549447905	5.0	-3.6174588459545007	1.0	-8.161601865275184	1.0		0.0		0.0	-9.781529850598274	3.0	-10.965546388136877	1.0	-10.190437580173226	1.0	-7.900767998535418	1.0	-8.03340466829155	1.0		0.0	-11.674335948477339	1.0		0.0		0.0		0.0	-8.650774473422214	2.0	-4.435947655690869	1.0	-10.980319133796366	1.0		0.0
samp_46	-5.581875865949615	6.43425362863113	0.05689822583075352	-4.364536847000191	2.0		0.0		0.0	-5.248936596981225	2.0		0.0		0.0		0.0	-4.491192894634156	1.0		0.0		0.0	-10.99300063542405	3.0	-11.89426360643207	2.0	-5.9452119597885815	4.0		0.0	-4.844033221766889	1.0		0.0	-5.8852158598065145	1.0	-6.0827248134687375	2.0	-4.017009023947126	1.0	-5.414588631607846	1.0	-11.731417330074507	2.0	-1.9547933459438935	1.0		0.0	-8.717395165233974	3.0	-10.30032297464049	2.0	-5.838595979399568	1.0	-3.615481915125592	2.0	-7.993298541942899	1.0	-10.472954089603906	1.0		0.0		0.0		0.0	-9.977349995029563	1.0		0.0	-7.873248843094144	2.0	-3.1760413206244915	1.0		0.0	-6.252189321277436	1.0		0.0	-10.578452333375955	1.0		0.0	-4.4311156436968115	3.0	-10.764876553746877	1.0	-3.8117050633093372	1.0
samp_47	-5.612045947726861	6.45937785662639	0.092200705805874		0.0		0.0		0.0	-5.2572951684691285	1.0		0.0	-4.754745279288895	2.0	-7.745671095359794	2.0	-4.4957671059469435	3.0		0.0		0.0	-11.049345083626044	1.0	-11.952830715116933	2.0	-5.960058891296346	1.0	-10.881890356897333	2.0		0.0	-10.55819166699981	3.0		0.0		0.0	-4.019391856879498	1.0	-5.424655654948023	3.0		0.0		0.0	-10.840434153979565	1.0	-8.763391098748585	1.0	-10.35790770225708	1.0		0.0	-3.6175095484356192	2.0	-8.031802680295732	1.0	-10.531229295478525	1.0	-11.490312523725656	1.0	-9.631444276147471	2.0		0.0	-10.033990846987034	2.0	-7.77893785749151	1.0		0.0		0.0	-11.534522042428808	2.0	-6.2704592777152035	3.0	-6.788818863587385	1.0		0.0		0.0	-4.4354101657513345	3.0	-10.824367933454539	1.0		0.0
samp_48	-5.728086312812303	6.246712667355087	0.10377125431399124	-4.363376109930053	2.0		0.0	-1.5319691016505728	1.0		0.0		0.0	-4.748220080950517	1.0	-7.6133446534315885	1.0	-4.488987443150738	3.0		0.0	-3.7214939577072474	1.0	-10.857746964842589	2.0		0.0	-5.92374847180698	1.0	-10.676551287942136	1.0		0.0	-10.369880935674367	2.0	-5.864433441839699	1.0	-6.055591807698598	1.0	-4.021225149665983	3.0	-5.4040992272148785	2.0		0.0		0.0	-10.635265742432368	3.0	-8.57621090258348	1.0	-10.130273672451265	1.0	-5.821365827033964	1.0	-3.615393228404089	2.0		0.0	-10.301208930934747	2.0	-11.278272703088195	1.0		0.0		0.0		0.0	-7.634047788701436	2.0	-7.760921881826439	1.0		0.0	-11.32110445264735	1.0		0.0	-6.708422443308588	2.0	-10.404428457872255	3.0	-8.29465066516229	1.0		0.0		0.0	-3.81241360912369	1.0
samp_49	-5.694121981662196	6.310022105109654	0.10710222675401786	-4.365902514886036	3.0	-7.967597027512163	1.0	-1.5320692417858846	1.0	-5.25077482436519	1.0	-4.934014208236568	1.0	-4.751592536942896	4.0	-7.65622515814656	2.0	-4.492119059589303	1.0		0.0	-3.7223501996230484	3.0	-10.921007142706996	1.0		0.0	-5.937882828098014	1.0	-10.74457102799181	1.0		0.0		0.0	-5.878094688644408	1.0	-6.07199803885687	1.0	-4.021315381402975	1.0		0.0	-11.650771405111904	1.0		0.0		0.0	-8.636463239753025	1.0	-10.205882038614801	2.0	-5.833776308205202	1.0	-3.616501541084786	3.0	-7.924790452279608	3.0		0.0		0.0	-9.485789606630682	2.0	-10.67956756831207	1.0	-9.879214495225318	1.0		0.0	-7.8088555076483175	2.0	-3.177596564398711	1.0		0.0	-6.238353792636824	1.0	-6.736086462236238	1.0		0.0	-8.356620570160583	1.0		0.0		0.0		0.0
samp_50	-5.404342641006959	6.425981498942614	0.07094502858732604	-4.369804517751601	1.0	-8.073536439475347	1.0	-1.5322239832232072	2.0		0.0	-4.943019125820046	1.0	-4.7569488450045	2.0		0.0	-4.497042760592811	4.0	-5.602952305927797	2.0	-3.7235681285740854	1.0	-11.002628226284138	2.0		0.0		0.0		0.0	-4.8519220920362995	2.0	-10.512631133271205	1.0		0.0		0.0	-4.021173551568395	3.0	-5.427825004601862	1.0		0.0	-1.9553914278376756	1.0		0.0		0.0	-10.331379929598256	1.0		0.0	-3.618116428364473	1.0		0.0		0.0		0.0		0.0	-10.788777755253601	1.0	-10.014170080348633	1.0	-7.795543050917443	3.0		0.0		0.0		0.0	-6.277631055609561	1.0		0.0	-10.609719715859923	3.0	-8.50627694335645	1.0	-4.4367336064872935	3.0	-10.797035326229171	3.0	-3.814920703837299	2.0
samp_51	-5.411078666026471	6.730581621705737	-0.006870633053531817		0.0	-8.223120190077603	4.0	-1.5318007115606131	1.0		0.0		0.0	-4.751712281954931	1.0		0.0		0.0	-5.5993613470183785	2.0		0.0	-11.216088979645756	1.0	-12.14643659756836	1.0	-5.973296793972728	1.0	-11.060586894447443	1.0	-4.852449907793167	1.0	-10.721337190381039	2.0		0.0	-6.119619484096261	1.0	-4.012865262762302	1.0	-5.428749815291906	1.0	-11.972097159930053	1.0	-1.9527477153065391	1.0		0.0		0.0		0.0		0.0		0.0	-8.194651748695824	1.0	-10.731467850736301	2.0	-11.676338256408927	2.0	-9.827247249926794	2.0	-11.012640285001126	1.0	-10.238385253426829	1.0	-7.929497056200294	2.0	-8.064155935987328	2.0		0.0		0.0	-6.297504812610128	1.0		0.0		0.0		0.0	-4.434392672342009	2.0	-11.02972153238791	5.0	-3.8120414306228634	3.0
samp_52	-5.7810245225513475	6.283469834955754	0.04388811418479322		0.0	-7.889032378323504	1.0		0.0		0.0		0.0	-4.737226919623023	4.0		0.0	-4.480511555048257	1.0		0.0	-3.7166461841073866	1.0	-10.833913548625224	1.0		0.0		0.0		0.0	-4.82797486329112	1.0	-10.345608466949018	3.0		0.0	-6.033813259999006	1.0	-4.014164892568907	2.0	-5.388101810091084	1.0	-11.555305168429982	1.0	-1.9552017203587582	2.0	-10.606852416512927	2.0	-8.542223654719612	1.0	-10.093278525088971	1.0	-5.800547601728585	2.0	-3.611216514345414	1.0	-7.841653220123561	1.0	-10.264082466512427	1.0	-11.249220193571741	2.0		0.0		0.0	-9.762994752002918	1.0	-7.601119483432266	2.0		0.0		0.0	-11.291758577200943	1.0		0.0		0.0		0.0	-8.255139470762163	2.0	-4.421484565118748	4.0	-10.548988561004771	1.0	-3.8072256617980273	3.0
samp_53	-5.888543271257332	6.370701402033892	0.08637891909191826		0.0	-7.953749300653641	2.0		0.0	-5.24110499411485	2.0		0.0	-4.745029749832413	2.0	-7.645923736701793	2.0	-4.4875453697545336	1.0	-5.574409865438146	1.0	-3.7194344886702044	1.0		0.0		0.0	-5.925861133855171	1.0		0.0		0.0	-10.458755038397886	6.0		0.0	-6.060258261737686	2.0		0.0	-5.404022726087185	2.0	-11.676032838497262	1.0		0.0		0.0	-8.620214470104399	3.0		0.0	-5.821573125031633	1.0	-3.614159363200208	2.0	-7.903888465388546	1.0		0.0		0.0		0.0	-10.692282114724662	2.0		0.0	-7.657795491908749	1.0		0.0	-3.1755704957914457	1.0	-11.412477922659551	3.0	-6.225306623171892	1.0	-6.722390029773682	2.0		0.0	-8.32424063265151	1.0	-4.427880685255986	1.0	-10.66611093410185	1.0	-3.810351515124071	1.0
samp_54	-5.644810261270782	6.16022786183577	0.14333639398649559	-4.368218892009716	2.0	-7.907314469074832	1.0	-1.5326366339414532	3.0		0.0		0.0	-4.755317973952046	1.0	-7.60297754748339	1.0		0.0		0.0	-3.725142328458268	1.0	-10.816955552051976	1.0		0.0		0.0	-10.638666756217479	2.0	-4.843753350597078	2.0	-10.331131992785735	1.0	-5.870767151571731	2.0		0.0	-4.027707318621438	1.0		0.0	-11.54242893435337	3.0		0.0	-10.597556986048396	3.0	-8.559927106079684	1.0	-10.09987639170555	2.0		0.0	-3.6182427000325164	2.0		0.0		0.0		0.0		0.0	-10.571884018777121	3.0	-9.77630280496271	2.0		0.0		0.0		0.0	-11.2822728699575	2.0		0.0	-6.709044467418575	1.0	-10.372606960136807	2.0	-8.286768176033643	3.0		0.0	-10.55495066381818	1.0	-3.816237456118412	1.0
