run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_60	0.00769086169085578	-4.925230924670994	1.0	-2.1677283522793886	2.0	-4.788021636864929	2.0	-4.5533247106668755	1.0		0.0	-4.6863749400088475	1.0	-4.673196289482997	2.0	-5.149819729202029	3.0		0.0		0.0	-4.5653161981939885	2.0		0.0		0.0		0.0	-4.1849932767863995	5.0	-4.670391333972079	1.0		0.0		0.0		0.0		0.0	-7.174363790065083	1.0		0.0	-9.872175430654814	2.0
samp_61	0.10031018155465038		0.0	-2.16483627406998	1.0	-4.802853822871606	1.0	-4.566443066961469	1.0	-0.5849230652842903	1.0	-4.701364200348135	1.0	-4.6872685705432975	1.0	-5.166556374416811	3.0	-1.5115856719071312	2.0		0.0		0.0	-7.78543417326449	1.0		0.0	-0.34502319738755755	2.0	-4.1969223512913185	1.0	-4.685011456184899	1.0	-5.260083103693887	3.0		0.0		0.0	-9.990409379644454	2.0		0.0	-5.327321452388169	1.0	-9.914819226679807	1.0
samp_62	0.024179501468499412		0.0		0.0		0.0	-4.555729208039453	1.0	-0.5849267964259526	2.0	-4.689113077565664	1.0	-4.675771285158985	1.0	-5.152872163552029	1.0	-1.513096705637308	2.0	-4.0898385716130425	1.0	-4.567541146121294	1.0	-7.760651003037616	3.0		0.0	-0.3448678116061676	3.0	-4.187182095196223	1.0	-4.673063854547609	1.0		0.0	-6.262094894456331	1.0		0.0		0.0		0.0	-5.312833858459598	2.0	-9.879901957701163	2.0
samp_63	0.3558382088640598	-4.9795942212273925	2.0	-2.1576322210563186	1.0	-4.838972298299791	2.0		0.0	-0.584909828035623	2.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	-4.948190752356071	1.0	-0.34544809882871935	1.0	-4.225476597485707	2.0		0.0	-5.305005037321012	2.0	-6.3372568924850015	2.0	-9.858869910055276	2.0	-10.100240489906922	1.0	-7.270295808275552	3.0	-5.371146229334128	1.0	-10.02282321150354	1.0
samp_64	-0.05223584736197729		0.0		0.0	-4.777908879301384	2.0	-4.5443371184051875	1.0	-0.5849176926488113	1.0		0.0		0.0	-5.138462940875006	1.0	-1.5146981077000272	3.0	-4.083480567479729	1.0	-4.556976528174428	2.0	-7.735017518453684	2.0	-4.88239174112087	1.0	-0.34469374189053936	1.0		0.0		0.0	-5.229708728498743	2.0	-6.242895941060219	1.0	-9.674182026701095	2.0	-9.917908235934004	2.0		0.0		0.0	-9.843615116687394	1.0
samp_65	-0.012453138308180818	-4.9216735348502025	2.0	-2.168374335389258	1.0	-4.784668015499811	1.0	-4.550348163039706	2.0	-0.5849232482862966	1.0	-4.682987588455227	1.0	-4.670009534223459	2.0	-5.146049229209179	2.0	-1.51385455056803	1.0		0.0	-4.562558219066329	1.0		0.0		0.0	-0.3447855394243951	3.0	-4.1822814735803355	1.0		0.0	-5.237891918556266	1.0	-6.2529794477459335	1.0	-9.693807861380499	2.0	-9.937307059765567	1.0		0.0		0.0		0.0
samp_66	0.05132428745520606		0.0	-2.1663529503343346	2.0	-4.795127758536714	1.0		0.0	-0.5849299213536695	1.0		0.0	-4.679942657241772	1.0	-5.157826765892085	3.0		0.0		0.0	-4.571139504901267	3.0	-7.769574273683738	1.0	-4.9008400561477705	1.0	-0.3449197072963662	1.0	-4.190720045168529	2.0	-4.677396266049027	1.0	-5.250625558379709	1.0	-6.268744070038427	2.0		0.0	-9.967684353450663	1.0	-7.187234776860874	1.0		0.0	-9.892500470494227	1.0
samp_67	-0.0361212001322149	-4.917425793140532	3.0	-2.1691264214422707	1.0	-4.78067050340787	2.0		0.0	-0.5849133235579598	1.0		0.0		0.0	-5.141557366287162	3.0	-1.51435288939541	2.0	-4.084865729531289	1.0		0.0		0.0	-4.885347541377333	1.0	-0.34473943056867873	2.0	-4.17904016523387	2.0		0.0		0.0	-6.247004368400042	2.0		0.0		0.0	-7.161199659694138	1.0	-5.300882083377418	2.0		0.0
samp_68	0.0940008559230308	-4.939947614656309	1.0		0.0		0.0	-4.5655777829582185	1.0	-0.584925749309642	1.0	-4.700372265477997	1.0	-4.686336900161207	3.0	-5.16543697357124	3.0	-1.5117113026353861	2.0		0.0		0.0		0.0		0.0	-0.34502939651400694	1.0		0.0	-4.684044909036558	2.0	-5.258879123025725	2.0	-6.279020947595179	1.0	-9.744632006707825	1.0		0.0		0.0	-5.32614409066	1.0	-9.911972207395522	3.0
samp_69	0.041496332687185056	-4.931091882679093	1.0	-2.166660816454571	3.0		0.0	-4.55821842570133	1.0		0.0	-4.6919567883932105	1.0		0.0		0.0	-1.51274515507513	2.0	-4.091206307050276	1.0		0.0		0.0		0.0	-0.3449227834166325	1.0		0.0		0.0	-5.248697043314014	1.0	-6.266351414962413	3.0	-9.719877118195795	1.0	-9.96306544136173	2.0	-7.184365017979224	3.0	-5.316189447544668	3.0		0.0
