run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_55	-7.2832060225300825	1.3883460150471716	0.22398174940103394	-0.6210202085165336	2.0	-9.584362801948307	1.0	-8.735291481763664	1.0	-9.435301760570459	1.0	-8.923100954181828	1.0	-7.066316353988333	1.0	-6.251940905030972	2.0		0.0	-3.075184672015196	1.0	-7.255431160209292	3.0	-3.579852410788488	1.0		0.0	-6.353034685245484	1.0	-5.080153799161481	2.0		0.0		0.0		0.0
samp_56	-7.543271712327721	-15.677204526623376	17.37944755266976		0.0	-9.576664021526412	1.0	-8.755932912886538	2.0		0.0	-8.940089426869696	1.0	-7.107979687327665	1.0	-6.298457557612163	1.0	-7.89279798908438	1.0	-3.180794925578575	1.0	-7.294349932004007	1.0	-3.671962869905631	2.0		0.0	-6.398927239836651	1.0	-5.136695544454707	1.0	-4.665325912541011	2.0	-3.7305513410555147	1.0	-5.518704040548377	1.0
samp_57	-9.439179911672628	1.319216583756811	0.19761700701420315	-0.5917399664388546	2.0		0.0	-8.563332823802876	2.0		0.0	-8.732307668277608	1.0		0.0		0.0		0.0	-3.0294402008234704	2.0	-7.168289061221012	5.0		0.0	-1.263306742791421	1.0	-6.29097198066573	1.0	-5.028995499029941	2.0	-4.554768535356947	1.0		0.0		0.0
samp_58	-7.7462142887298375	1.5642939260122841	0.1304111351604262	-0.5937674773404424	4.0	-9.527598909954518	1.0	-8.730676412698632	1.0		0.0	-8.911831930691609	3.0	-7.098667310659754	1.0		0.0	-7.875373187800545	2.0	-3.1072302728460994	1.0		0.0		0.0		0.0		0.0	-5.117806663553743	2.0		0.0	-3.667496938485904	1.0	-5.503903962085368	1.0
samp_59	-6.632702889050895	1.8092349741832574	0.06796275072390531	-0.5915523666428723	3.0	-10.031926725260957	1.0	-9.028653250644881	2.0	-9.916211072315928	2.0		0.0	-7.230883227163055	3.0		0.0	-8.097867402630795	2.0	-3.1837678877654256	1.0		0.0		0.0		0.0	-6.5049341814185615	1.0		0.0	-4.732231926933017	1.0	-3.747249273012641	1.0		0.0
samp_60	-7.222309529819638	1.3965645649272997	0.17126611836442954	-0.5903257592301248	2.0		0.0	-8.717568801485227	1.0	-9.422983999044405	1.0	-8.906111310269646	1.0	-7.0448990216398935	1.0	-6.230083816939117	4.0	-7.841367644732804	1.0		0.0	-7.234533215601801	1.0	-3.5568780033865424	1.0		0.0	-6.331223148692387	3.0		0.0		0.0		0.0	-5.444120866677878	1.0
samp_61	-6.178760178465461	1.6104216112959215	-0.08490237260860517	-0.48378957761467756	1.0		0.0		0.0	-9.939596227162285	1.0		0.0		0.0	-6.234069940866505	2.0	-7.965347985370427	2.0		0.0	-7.293419198779358	2.0		0.0	-1.158325281359814	2.0	-6.3385411249886054	2.0	-5.041729215727282	2.0	-4.561121304645063	1.0	-3.5811686980005604	1.0	-5.432685758455456	1.0
samp_62	-6.995531824136031	1.6985255622575148	0.008693362740921298		0.0	-9.744765798584085	3.0	-8.837625352115005	1.0	-9.604374315619602	2.0		0.0	-7.123990007118139	1.0	-6.304106090463381	2.0	-7.942140007869063	1.0	-3.105798446874551	2.0	-7.321006462292453	1.0		0.0	-1.2221216556804702	1.0		0.0	-5.1253985707040055	1.0		0.0		0.0	-5.513670948476655	2.0
samp_63	-6.836076569818098	1.8458876050125563	-0.0022057509553823915	-0.5615764210098348	2.0	-9.910587986698102	2.0		0.0	-9.78244068793608	1.0	-9.157359406244998	1.0	-7.20237692747122	1.0		0.0	-8.043531798073003	2.0	-3.164060336709982	2.0		0.0		0.0	-1.2331004461063269	1.0		0.0	-5.193299523103433	1.0	-4.713289195929283	2.0	-3.727003441681131	2.0		0.0
samp_64	-7.2564843801847445	1.4459248681760715	0.27829321393142276	-0.6629988422613389	1.0		0.0		0.0		0.0	-8.994843197223538	1.0	-7.1249422352299066	1.0	-6.30933736602509	1.0		0.0	-3.1290865267428307	1.0	-7.3161787232260895	2.0	-3.634384576412053	3.0		0.0	-6.410627671062413	1.0	-5.136191751100971	3.0	-4.659677932343124	1.0	-3.6893420837906286	2.0		0.0
