run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2H4_log_P	b2H4_weight	b2H1_log_P	b2H1_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2F8_log_P	b2F8_weight	b2F6_log_P	b2F6_weight	b2G5_log_P	b2G5_weight	b2F9_log_P	b2F9_weight	b2F7_log_P	b2F7_weight	b2G2_log_P	b2G2_weight	b2G6_log_P	b2G6_weight	b2A7_log_P	b2A7_weight	b2A1_log_P	b2A1_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_62	2.875591371870081		0.0		0.0	-4.752537059765242	3.0	-4.500937290744512	1.0	-0.5793277756685423	2.0	-4.699286371262671	1.0		0.0	-5.039452001976598	1.0	-1.4754593923849177	1.0	-3.9563133557422456	1.0	-4.442699382960499	2.0	-7.937121088669558	1.0	-4.995086892893827	1.0		0.0	-4.296737148790363	2.0	-4.698489342776475	1.0		0.0	-6.42325933977624	1.0	-10.102140002399794	1.0		0.0	-6.62724688185311	1.0	-7.753404710545708	4.0		0.0	-4.972684643691433	2.0		0.0		0.0	-11.649968062897448	1.0	-5.0385204842921585	2.0		0.0		0.0	-10.32935280641306	1.0	-7.364577558971305	1.0	-7.29470270207066	1.0	-5.35447070701992	2.0	-10.477140625098768	1.0
samp_63	2.348349318790467	-4.871871960410429	2.0	-2.0953132883107	1.0		0.0	-4.493484131277067	1.0	-0.579194405972746	2.0		0.0		0.0	-5.02902504279994	1.0		0.0	-3.953574258833153	1.0	-4.436402084699744	2.0		0.0		0.0	-0.34049165728535885	2.0		0.0		0.0		0.0		0.0	-10.065613033059195	3.0	-6.865029819134629	2.0	-6.608531477444866	1.0	-7.729311460884719	3.0	-6.8471193126196095	1.0	-4.962677078385946	1.0	-12.211534025126626	2.0	-6.644579851035553	1.0		0.0	-5.028332345890888	1.0	-10.495639917536558	1.0	-5.091231697242634	1.0		0.0	-7.341069071536227	1.0	-7.272491430365603	1.0	-5.34291745032685	3.0	-10.441319801800521	1.0
samp_64	2.794543929579997		0.0		0.0	-4.751455311944055	1.0	-4.5000286533864005	1.0		0.0	-4.698144337509539	2.0	-4.66756150855697	1.0	-5.0381748380301765	2.0		0.0	-3.9559880650866432	1.0	-4.44193508165244	1.0	-7.933928434454408	2.0	-4.993875767991721	2.0		0.0	-4.296009130117278	2.0	-4.697415645775341	1.0	-5.3093482084538985	2.0		0.0		0.0		0.0	-6.62493316334484	2.0	-7.750417385165816	2.0	-6.864486407768488	1.0	-4.971459410460231	1.0	-12.243004152507345	3.0		0.0	-11.645608553655546	1.0	-5.037272948460346	1.0	-10.527147939370705	1.0	-5.100833712110808	1.0		0.0	-7.3616617687793005	3.0		0.0		0.0	-10.472705249696439	1.0
samp_65	17.012469705834302	-4.895943046743993	2.0	-2.093618393010228	1.0	-4.765466100841454	1.0	-4.511720091623297	2.0	-0.5795347960013886	5.0		0.0	-4.68026838945695	2.0	-5.054774466435667	2.0	-1.4747603717918398	2.0		0.0		0.0		0.0	-5.009574830284348	2.0		0.0		0.0	-4.711300536390886	1.0	-5.329310491505393	2.0	-6.450092534594828	1.0		0.0		0.0	-6.65551272099624	1.0		0.0		0.0	-4.98734405398854	3.0	-12.301617515765987	4.0		0.0	-11.702936345471324	1.0		0.0	-10.58584062448756	1.0		0.0		0.0		0.0	-7.328450245018075	2.0		0.0		0.0
samp_66	2.336126012198215	-4.871583728673897	1.0		0.0	-4.743403425434103	1.0	-4.493254720778172	1.0	-0.5791957617378579	1.0	-4.6896708225853185	1.0	-4.660216495306384	2.0	-5.028708652379775	2.0	-1.4759730414730412	1.0	-3.9534969783395315	3.0	-4.436210433263265	2.0	-7.910609222137549	2.0	-4.984890287791731	1.0		0.0		0.0		0.0		0.0	-6.4049363088388365	1.0		0.0	-6.864449898673409	2.0		0.0	-7.728602141110441	1.0	-6.846538188817375	2.0	-4.962374934931883	1.0	-12.210488735008104	1.0	-6.644025253384436	1.0	-11.613870421784735	1.0	-5.028024592411327	1.0		0.0		0.0		0.0	-7.340373596719382	2.0	-7.271838610264808	1.0	-5.342569847896571	1.0	-10.440275556354916	2.0
samp_67	2.900042074636294	-4.881983585255547	4.0	-2.0946082705729747	2.0	-4.7528489967813154	1.0		0.0		0.0		0.0	-4.66882975090671	2.0	-5.039817767423712	1.0	-1.4754552394334333	1.0		0.0	-4.4429175504208755	2.0	-7.938036102754171	3.0		0.0	-0.3407736980067182	1.0	-4.296945524756927	1.0		0.0	-5.311312780332526	1.0	-6.423890508887967	2.0		0.0		0.0	-6.627910860357454	1.0		0.0		0.0	-4.973035573118389	1.0	-12.248720712882331	2.0	-6.664185902085517	2.0		0.0		0.0	-10.532865174733363	2.0		0.0	-10.330632415813055	2.0	-7.365413538561496	1.0	-7.295492269466303	1.0		0.0	-10.478406653919167	2.0
samp_68	2.630578084323605	-4.877719209577006	1.0		0.0		0.0		0.0		0.0	-4.6955362868418105	2.0	-4.665309203965588	1.0	-5.035260098953069	2.0	-1.47566917138855	2.0	-3.9552348382538276	2.0	-4.440186503427464	1.0	-7.9266804260472465	2.0	-4.991112638408756	1.0	-0.34064804292953266	1.0	-4.2943418786683685	1.0		0.0		0.0		0.0	-10.08736033991823	1.0		0.0	-6.619677939164125	3.0		0.0	-6.858919687179775	1.0	-4.968663261686708	2.0	-12.232929316379547	1.0	-6.6558561012834385	2.0	-11.63578978798526	2.0	-5.034427891637088	1.0	-10.51705054311858	1.0		0.0	-10.314810231411263	2.0		0.0	-7.285705987531165	1.0	-5.349822729630014	2.0		0.0
samp_69	4.111293229095141	-4.891759032873374	1.0	-2.0939150754702927	2.0		0.0	-4.508583378453053	1.0	-0.5795127644939014	1.0	-4.708958179770281	1.0	-4.676855555724151	4.0	-5.050285218392822	3.0	-1.4749509024625864	1.0	-3.9589627112998405	1.0	-4.4490902952653935	1.0	-7.964688936108554	1.0	-5.005342329841534	1.0	-0.3410451073174012	1.0		0.0		0.0	-5.3238908433727055	1.0	-6.442143883466573	2.0	-10.140965121860162	1.0	-6.9059252468794465	1.0	-6.647129060780672	1.0	-7.779165070009959	1.0		0.0	-4.983064400361092	1.0		0.0	-6.683639179981794	2.0		0.0	-5.049092401004647	3.0	-10.569763946434062	1.0		0.0		0.0		0.0	-7.318415177836651	2.0		0.0		0.0
samp_70	1.8464582416215782	-4.856627794640483	1.0		0.0	-4.729751951157041	3.0	-4.481685309809659	1.0	-0.5789597586750777	1.0		0.0		0.0	-5.0127821323722745	1.0		0.0	-3.948939337175746	1.0	-4.426333178732871	4.0	-7.8726568915355974	1.0	-4.969724423066144	1.0	-0.34007438378700444	1.0	-4.281141689041146	1.0		0.0		0.0	-6.378417237137299	1.0	-10.01021518507009	1.0	-6.835050473564617	1.0	-6.580156961087109	1.0		0.0		0.0	-4.947051863941399	3.0	-12.15700172264717	2.0	-6.615881743474708	1.0		0.0		0.0	-10.44112997954115	3.0		0.0	-10.23885775881267	1.0	-7.305687623949786	2.0		0.0	-5.3250009073512405	1.0	-10.387019735658841	2.0
samp_71	1.871711259423554	-4.857580781485753	2.0	-2.0962795018632128	1.0		0.0	-4.482428012923623	2.0		0.0		0.0	-4.648507072940942	4.0		0.0		0.0	-3.949242191855844	1.0		0.0		0.0	-4.97068963170575	3.0		0.0	-4.281750911063195	1.0	-4.676777169347888	1.0		0.0		0.0	-10.013627338330258	2.0	-6.836891853048295	1.0		0.0		0.0		0.0	-4.9480292238617904	1.0		0.0	-6.617645894420365	1.0	-11.564986099750852	2.0	-5.013428829983238	1.0	-10.4444808049875	4.0	-5.075288477904654	2.0		0.0	-7.307854964771872	1.0	-7.241054137859825	1.0	-5.326116271694674	2.0	-10.39036279479931	2.0
