run	log_F	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_61	0.4188169006763312	-1.1778794790507083	1.0	-4.521628703113497	2.0	-4.040835416633234	1.0	-2.2954603141800267	2.0	-2.745724663673861	1.0		0.0		0.0
samp_62	0.39821551321171544		0.0	-4.527728964576902	2.0	-4.047006977491818	1.0		0.0	-2.752112288811854	1.0	-1.3540079020291573	1.0	-4.9903437128464345	2.0
samp_63	0.4691277073671441		0.0	-4.506528504739013	1.0	-4.025552977173204	1.0	-2.27931220309672	1.0		0.0	-1.3298620231486697	3.0	-4.969456767798579	1.0
samp_64	0.4166171803104376	-1.1786414616472	1.0	-4.52228155684091	1.0	-4.041497061680077	1.0	-2.296158102686395	2.0	-2.7464086563252974	1.0		0.0	-4.98497523483245	1.0
samp_65	0.4416526325175962	-1.1699229545469707	1.0		0.0	-4.0339359697703365	1.0	-2.288176168388797	1.0	-2.7385769794167953	2.0	-1.3393226926158508	1.0	-4.977612661725831	1.0
samp_66	0.40600457978601545	-1.182301152534052	1.0	-4.52542806215806	3.0	-4.044681029025893	1.0	-2.299514645152782	2.0		0.0		0.0		0.0
samp_67	0.3857882410096835	-1.1892172262381024	2.0	-4.5313848957052	1.0	-4.0507047487283625	2.0	-2.3058640186872754	1.0		0.0	-1.3581507567913818	1.0		0.0
samp_68	0.5019569378831326		0.0	-4.496521722565063	1.0		0.0	-2.2685794761733478	1.0	-2.7193666566507986	2.0	-1.3183830533856906	2.0	-4.959605675224686	1.0
samp_69	0.3782223223898913		0.0		0.0	-4.052948160896662	2.0	-2.3082253418994814	1.0	-2.7582573454039263	1.0	-1.3606565955223797	1.0	-4.996135039807752	2.0
samp_70	0.39553813187000053	-1.1858914503142732	1.0	-4.5285184820941256	1.0	-4.047805501806194	1.0	-2.3028096362835697	1.0	-2.7529382172469066	1.0		0.0	-4.991121614761483	2.0
samp_71	0.4999510766461641	-1.1491687198006297	1.0	-4.497136135959648	1.0		0.0		0.0		0.0	-1.3190897428570625	3.0	-4.96021118396386	2.0
samp_72	0.4298776610022346	-1.17403763660679	1.0		0.0		0.0	-2.2919403809687746	1.0	-2.742271680015337	1.0		0.0	-4.981084153049843	4.0
samp_73	0.4259427556614779	-1.1754069904619993	1.0	-4.5195076662753175	1.0		0.0		0.0	-2.7435014350730973	2.0		0.0	-4.982240403929815	3.0
samp_74	0.48122465709848133	-1.1559047115617045	1.0		0.0		0.0	-2.2753752150929585	2.0	-2.7260259692388495	3.0		0.0	-4.965839843616463	1.0
samp_75	0.44172964371625145		0.0		0.0	-4.033911812131151	1.0	-2.288151701408944	3.0		0.0	-1.3392969500863934	1.0	-4.977590735030491	2.0
samp_76	0.502824391084591	-1.1481289555193723	2.0	-4.496257255538783	1.0		0.0	-2.2682933276321133	2.0	-2.719085471743261	1.0	-1.3180781681368288	1.0		0.0
samp_77	0.4481555352781022	-1.1676393106829086	2.0		0.0	-4.031959842086547	1.0		0.0	-2.7365287572702073	3.0	-1.3370953529355387	1.0		0.0
