run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-16.432100707795538	-2.294782728669029	1.0	-0.8504036117192775	1.0	-4.4012258327061655	1.0	-5.07631242963389	1.0	-1.9298389228266604	1.0	-2.5332601931384127	1.0	-0.9172251215251797	1.0	-4.844284795150949	1.0
samp_00	-15.398589052836034		0.0		0.0		0.0	-5.076310626505073	1.0		0.0	-2.5332497245966628	1.0	-0.917236732904253	3.0	-4.844281330274865	3.0
samp_01	-18.403283159559905		0.0	-0.8504034465655426	2.0		0.0		0.0	-1.92984321518794	3.0	-2.5332575807984656	1.0		0.0	-4.844283243128959	2.0
samp_02	-15.908994833785437		0.0		0.0	-4.401265021192828	1.0	-5.0763559276388115	1.0	-1.9298292383266125	1.0	-2.5332777576363563	2.0		0.0	-4.844324898960298	3.0
samp_03	-0.1262113138055004		0.0	-0.4552319166759901	3.0		0.0	-4.757587478924901	3.0	-1.5804121346753623	1.0	-2.2017810278157386	1.0		0.0		0.0
samp_04	-19.83594153690716	-2.2947974886759153	1.0	-0.8504012393565451	2.0		0.0		0.0	-1.9298428070070464	1.0	-2.533262232466151	2.0	-0.9172173041771485	2.0		0.0
samp_05	-19.130090662133103	-2.2947994369316254	2.0		0.0		0.0		0.0		0.0	-2.5332145913642266	2.0	-0.9172206650392305	1.0	-4.844266853076285	3.0
samp_06	-18.64188867019851	-2.294798407268044	3.0	-0.850398017436566	1.0		0.0		0.0	-1.9298311514599686	1.0	-2.53322969415097	1.0		0.0	-4.844274017675296	2.0
samp_07	-0.2701003227280846	-1.9943232367179347	2.0	-0.5006353315409489	1.0	-4.117652196847116	1.0	-4.790048925246605	3.0		0.0	-2.236841504053135	1.0		0.0		0.0
samp_08	-1.1785365882128043	-2.1555165543071206	2.0	-0.6949745795578699	1.0	-4.267086253290687	2.0	-4.940387614712398	2.0		0.0		0.0	-0.761044345077946	1.0		0.0
samp_09	-19.264982032655112	-2.2948081914753793	1.0	-0.8503898172298133	2.0		0.0		0.0	-1.9298432672085795	3.0	-2.533258985004049	1.0		0.0	-4.84428194532245	1.0
samp_10	-19.04605675807765		0.0	-0.8504072575472122	1.0	-4.401229624027209	3.0	-5.0763169237120715	1.0	-1.9298332706754877	1.0		0.0	-0.9172306303791762	2.0		0.0
samp_11	-1.310739007564771		0.0	-0.7129490435975581	3.0		0.0	-4.955328228640197	2.0	-1.802688289451736	2.0		0.0	-0.7790631558803937	1.0		0.0
samp_12	-29.51074007651304	-2.2947938963716656	1.0		0.0	-4.401227862803838	1.0		0.0	-1.9298412645486784	1.0		0.0	-0.9172208200275075	3.0	-4.844282728061418	2.0
