run	log_tbg	log_alphap	log_betap	b3G3_log_P	b3G3_weight	b8A2_log_P	b8A2_weight	b8A3_log_P	b8A3_weight	b8A4_log_P	b8A4_weight	b8A5_log_P	b8A5_weight	b8A6_log_P	b8A6_weight	b8A7_log_P	b8A7_weight	b8A8_log_P	b8A8_weight	b8A9_log_P	b8A9_weight	b8B1_log_P	b8B1_weight	b8B2_log_P	b8B2_weight	b8B3_log_P	b8B3_weight	b8B5_log_P	b8B5_weight	b8B6_log_P	b8B6_weight	b8B7_log_P	b8B7_weight	b8B8_log_P	b8B8_weight	b8B9_log_P	b8B9_weight	b8C1_log_P	b8C1_weight	b8C2_log_P	b8C2_weight	b8C3_log_P	b8C3_weight	b8C6_log_P	b8C6_weight	b8C7_log_P	b8C7_weight	b18H6_log_P	b18H6_weight	b18H7_log_P	b18H7_weight	b18H9_log_P	b18H9_weight	b18I4_log_P	b18I4_weight	b18I6_log_P	b18I6_weight	b18I7_log_P	b18I7_weight	b19A3_log_P	b19A3_weight	b19A4_log_P	b19A4_weight	b19A5_log_P	b19A5_weight	b19A8_log_P	b19A8_weight
fit	-5.851896042941441	2.6049032618692176	-0.1488869376991205	-4.608816101623011	1.0	-5.689088237858902	1.0	-9.453305795980363	1.0	-6.58597306358551	1.0	-5.7439362243546235	1.0	-1.4009641290970138	1.0	-10.443173565274062	1.0	-9.473171681716995	1.0	-10.453150045290778	1.0	-9.812542866470078	1.0	-8.849539435368408	1.0	-9.625776176430703	1.0	-11.140737547981324	1.0	-4.909928400360615	1.0	-4.82619843700088	1.0	-5.56039747384183	1.0	-5.526002978571032	1.0	-4.904699697960674	1.0	-6.5263574517358895	1.0	-5.3997718304606845	1.0	-5.6539490890777255	1.0	-5.21296676995942	1.0	-5.200377527594497	1.0	-4.862693962737522	1.0	-0.5589453605232596	1.0	-5.3835019313359425	1.0	-2.333926427536013	1.0	-5.414616371325616	1.0	-5.289085880199634	1.0	-8.505808065357739	1.0	-1.8884572541010411	1.0	-3.9120940607317043	1.0
samp_00	-5.665382973478604	2.6784808084765204	-0.17391762466488633	-4.631524563244688	1.0	-5.71902111057485	1.0		0.0		0.0		0.0	-1.3980312486873439	1.0	-10.671391148974244	1.0	-9.635994270062751	1.0	-10.607701531903118	1.0	-9.972996886590767	1.0	-8.957780169265904	2.0	-9.793951032085465	3.0		0.0	-4.934588449784117	1.0	-4.850317341043601	2.0	-5.589222959043722	3.0	-5.554741606228724	1.0	-4.929315534335667	1.0	-6.56681935519447	2.0	-5.427689695012311	1.0	-5.684091927151987	2.0	-5.239645413830206	2.0		0.0		0.0		0.0		0.0	-2.337079432151765	2.0	-5.442923721959484	1.0	-5.316435874803247	1.0	-8.609342737351575	1.0		0.0		0.0
samp_01	-5.600625294135458	2.8123242896208245	-0.3204823726966568		0.0	-5.7113810946659305	1.0		0.0	-6.62596415688881	2.0	-5.767105366730718	2.0	-1.3637648403026656	1.0	-10.731665181133435	3.0	-9.664301782546154	2.0		0.0	-10.00368108414444	1.0		0.0	-9.824613454370455	1.0	-11.625494210025778	2.0		0.0	-4.83721178829868	1.0	-5.5810444306490545	2.0		0.0	-4.917127358067719	1.0		0.0	-5.4185050272736985	2.0		0.0	-5.229287215745008	1.0		0.0	-4.874531392550577	3.0		0.0	-5.401986997235817	2.0	-2.3013311952059	1.0		0.0	-5.306300991812322	2.0		0.0	-1.8403801990310826	2.0		0.0
samp_02	-5.562872766657977	2.8084018581747054	-0.30412330392471487	-4.62419330624457	1.0	-5.719545937632081	1.0	-9.636966488163637	2.0	-6.637191961873136	1.0		0.0		0.0	-10.789888486537931	2.0	-9.70140387852622	1.0		0.0		0.0	-8.99624960256793	1.0		0.0		0.0	-4.929688201656448	1.0	-4.844604398415927	2.0	-5.588973259591086	2.0		0.0	-4.924510045787408	1.0		0.0		0.0		0.0	-5.236962167850854	2.0	-5.224292934400881	1.0	-4.881882391127176	3.0	-0.5352046370569679	1.0		0.0		0.0	-5.441522723549799	3.0	-5.314136801197883	2.0	-8.6462110678681	2.0	-1.845832195552159	3.0		0.0
samp_03	-5.863220201535604	2.379390381613156	0.026126256583330013	-4.59501504652059	1.0	-5.6665366313035745	1.0		0.0	-6.559002302181673	3.0	-5.721219769624452	2.0		0.0	-10.382033829556836	4.0		0.0	-10.409912083701208	1.0	-9.757869950200005	1.0	-8.80472206626189	2.0		0.0	-11.078361213098994	1.0	-4.893141180499434	1.0	-4.810417391621157	1.0		0.0		0.0	-4.887740909381131	2.0		0.0		0.0	-5.631933069742972	1.0		0.0		0.0	-4.846164053738802	1.0	-0.5989580001771869	4.0	-5.363421571695053	1.0		0.0	-5.394239155840572	2.0	-5.269586383263317	1.0	-8.462832128144147	1.0		0.0	-3.9083658858016306	1.0
samp_04	-6.001383869876328	2.4253085921821644	0.019229650947676088	-4.611235930311186	1.0	-5.682607097798237	1.0	-9.376052614378123	2.0		0.0	-5.737054531705984	1.0		0.0	-10.309156621799454	1.0		0.0	-10.367097165104814	1.0	-9.71692443988494	1.0	-8.789459362623473	2.0		0.0		0.0		0.0	-4.826744163221583	3.0		0.0	-5.520681492303474	2.0	-4.9042218754925875	1.0		0.0	-5.395408676123733	4.0		0.0	-5.210088304510745	1.0		0.0	-4.862610318527684	1.0	-0.5986399381714164	2.0	-5.379488403827353	2.0		0.0		0.0	-5.2857872372621095	4.0	-8.450240712080905	1.0		0.0	-3.9231627481506095	1.0
samp_05	-6.105588913839545	2.7249445550210716	-0.3079769312916585	-4.57897811493399	1.0		0.0		0.0	-6.545654829355445	1.0		0.0		0.0		0.0	-9.289163637620172	1.0	-10.298977742546901	1.0	-9.63384683649355	1.0	-8.733575698141498	1.0		0.0		0.0	-4.880858543399266	1.0	-4.796707098787183	2.0		0.0	-5.497136199782885	1.0	-4.875871001496086	2.0	-6.4885341600450985	1.0		0.0		0.0	-5.184083227717562	2.0	-5.17224224169565	1.0		0.0	-0.5273243505412177	1.0	-5.3537371536175655	1.0	-2.290193134729837	1.0	-5.3849506622689125	1.0	-5.259630822745706	2.0	-8.398436320678128	1.0	-1.837415178290879	6.0	-3.878130939996408	3.0
samp_06	-6.120550884327087	2.356075338254652	-0.004668981611680099	-4.566144204835978	1.0		0.0	-9.24388351376568	2.0	-6.512944361170567	3.0	-5.686809450064041	2.0	-1.4341296417222864	1.0		0.0		0.0	-10.243586632028075	1.0	-9.564387115060761	1.0	-8.679035441486828	1.0		0.0	-10.744416411829611	1.0	-4.863140925998661	1.0	-4.780678575158751	1.0		0.0		0.0	-4.857843602489225	1.0	-6.456111672989148	1.0		0.0	-5.597803782267839	1.0		0.0	-5.149741344041491	1.0	-4.81641121995185	2.0	-0.5873760415397491	2.0		0.0	-2.346199254778344	4.0	-5.361527358539006	1.0		0.0	-8.347079916950138	3.0		0.0	-3.8817050547672283	1.0
samp_07	-6.441141579182725	2.8065475452906226	-0.34003643621529434	-4.595983277608554	3.0	-5.6771050789378785	1.0	-9.21379271287335	1.0	-6.554324515669247	2.0	-5.730796962620124	3.0	-1.3570258948665526	1.0	-10.0248366869087	1.0		0.0	-10.209384521615082	2.0		0.0		0.0		0.0	-10.604987478364741	1.0	-4.898466626082499	2.0	-4.814044074110238	1.0	-5.549659614967929	2.0		0.0		0.0		0.0		0.0	-5.640571341457434	3.0		0.0	-5.190446567077763	1.0	-4.85140169430611	2.0		0.0		0.0		0.0	-5.402119357058791	2.0	-5.276983233815895	2.0		0.0	-1.8320993724664179	2.0		0.0
samp_08	-5.659897417883545	2.615056120276855	-0.15820805727550968	-4.611055172294035	1.0	-5.695272852270049	1.0		0.0	-6.602457272035144	2.0		0.0	-1.3988384383219965	2.0	-10.629949389685349	2.0	-9.591467974653787	1.0		0.0	-9.93140439521593	2.0	-8.919675422241363	1.0	-9.749553397156426	2.0	-11.460870575112372	3.0	-4.9130489722019	1.0	-4.829107978543131	1.0	-5.565771468906612	2.0	-5.531399488807928	1.0		0.0	-6.540752583340612	1.0		0.0	-5.660464752624958	1.0	-5.217183710990151	2.0		0.0	-4.865621995025649	1.0	-0.5572897325435333	1.0		0.0	-2.332289132270018	1.0		0.0		0.0	-8.571912412688091	2.0	-1.885932544364794	1.0		0.0
