run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-5.787418518545135	-5.123133240695001	1.0	-2.340774346609461	1.0	-4.910687747207173	1.0	-4.732959714923895	1.0	-0.3851035044985185	1.0	-4.905921796550946	1.0	-4.87287269858633	1.0	-5.259600159927189	1.0	-1.7176859041454566	1.0	-4.129863293369121	1.0	-4.595719633013235	1.0	-7.667519709341787	1.0	-4.663961239340124	1.0	-0.31041669449264236	1.0	-3.9656848866784924	1.0	-4.444649207463555	1.0	-5.031850765319537	1.0	-6.0768788725165495	1.0
samp_00	-6.255689621149573		0.0	-2.2955518375851414	2.0	-4.862905638540522	3.0		0.0	-0.33712340610755415	2.0	-4.858172778256092	2.0	-4.825048870360591	1.0		0.0	-1.6740354506386406	2.0	-4.082508989533923	1.0		0.0		0.0		0.0	-0.26649159271733375	2.0		0.0	-4.3971956983347456	1.0	-4.98454691948713	1.0	-6.0302409878173355	1.0
samp_01	-5.954021405042064		0.0		0.0	-4.891619356347605	1.0	-4.713917940033088	2.0		0.0	-4.886866936918367	1.0	-4.8537890700093165	2.0		0.0	-1.7004216142313153	2.0	-4.110987974487541	1.0	-4.5767178531282635	1.0	-7.648654657295664	1.0		0.0	-0.2932686380423825	3.0	-3.9467395562051073	1.0	-4.4257247419081	1.0		0.0	-6.058217648024334	2.0
samp_02	-5.0776234134103335	-5.2363963107973115	1.0		0.0		0.0		0.0		0.0		0.0	-4.9854776921283355	1.0	-5.373335056752094	2.0	-1.8152614394568563	1.0		0.0	-4.70764080354971	2.0	-7.785062190031288	2.0	-4.775428155358514	2.0		0.0	-4.076859529872372	4.0	-4.556004887237227	1.0	-5.14336239426898	2.0		0.0
samp_03	-7.18655126871186		0.0	-2.243908777096057	2.0	-4.809321769879835	1.0	-4.631677557595081	2.0		0.0		0.0	-4.771433752749608	2.0	-5.157596204981366	1.0	-1.6235845529826411	3.0	-4.029217438233415	1.0	-4.494557862640745	2.0	-7.570807405583305	1.0		0.0		0.0		0.0	-4.343867398804966	1.0		0.0	-5.978464579777427	2.0
samp_04	-5.695396095505126	-5.134821301951943	1.0		0.0	-4.922311769570259	1.0	-4.744559380303631	3.0	-0.3963086443165913	2.0		0.0	-4.884497716856825	2.0		0.0		0.0	-4.141357100856745	2.0	-4.607294707849661	1.0		0.0	-4.675487115128083	1.0		0.0	-3.977215599094562	2.0	-4.45617382401518	1.0		0.0	-6.088278366528122	2.0
samp_05	-5.7019180559056455		0.0	-2.350852892478293	1.0		0.0		0.0	-0.3954893898825077	1.0	-4.916684635215676	3.0	-4.883649004506678	1.0	-5.270460714582994	1.0	-1.7273416380225504	2.0	-4.140516724458805	1.0	-4.6064461899985965	1.0	-7.678324439059198	1.0	-4.674640072792815	1.0	-0.31988565424823484	1.0	-3.9763724585860043	1.0	-4.455328985895056	1.0		0.0	-6.087447125416549	2.0
samp_06	-5.400429995958514		0.0		0.0	-4.965255707367687	1.0	-4.787417897629163	1.0		0.0	-4.960449561703218	2.0		0.0	-5.3146832937412185	2.0	-1.7659429749920665	1.0	-4.183747936190007	1.0	-4.6500385441297905	1.0		0.0	-4.718051645508403	1.0	-0.3566939302653345	2.0	-4.019735292630145	1.0	-4.49871807292204	1.0	-5.085905606126105	2.0	-6.130637769792695	2.0
samp_07	-6.022220173454538	-5.096822177401531	1.0		0.0	-4.884503662338039	2.0	-4.706809591339752	2.0	-0.35919153355386074	1.0	-4.879755747487944	1.0	-4.846666033288104	2.0		0.0	-1.6939245403554295	1.0	-4.10393631800042	2.0	-4.569623707718025	1.0		0.0	-4.637979848344226	1.0		0.0	-3.9396605585032263	2.0		0.0	-5.005924745114803	1.0	-6.051268762491982	1.0
samp_08	-6.785837551267271	-5.0392482087047545	1.0	-2.2611833143409097	1.0	-4.8271447193952355	3.0	-4.64948456194052	1.0		0.0		0.0		0.0	-5.175506154660855	3.0	-1.640514404126895	1.0	-4.04695323075666	2.0	-4.512384772703242	1.0	-7.587168579942189	1.0		0.0	-0.23152234147803155	1.0	-3.8824361059271206	3.0		0.0		0.0		0.0
