run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
samp_27	-6.209474172521543	4.158964747761066	-0.07395480005142992		0.0	-10.451163448648158	2.0	-9.344266179951981	2.0	-5.223149224738839	3.0		0.0	-2.3980270851853347	3.0	-3.0723613654854827	1.0		0.0		0.0		0.0	-2.554687652036316	1.0	-4.0805698176757	1.0	-6.526730820800282	3.0		0.0	-5.459163267576178	2.0		0.0		0.0		0.0		0.0	-4.027888205096589	2.0	-8.772219311972774	2.0	-11.222657200552455	1.0		0.0
samp_28	-6.537094885249407	4.051660814447456	0.037357998313912164		0.0	-10.31182410571682	1.0	-9.25799567086114	1.0		0.0	-5.0994918056897	2.0	-2.4141492949714576	3.0		0.0	-4.955357788352099	2.0	-0.0578916992441901	2.0		0.0		0.0	-4.104869780777112	1.0	-6.520558945676772	2.0	-5.893746672704985	1.0	-5.466234516837507	2.0		0.0	-3.905342258462164	1.0	-1.5848335482955054	1.0	-8.118288790222087	2.0		0.0	-8.723009443872279	1.0	-11.18111106276755	1.0		0.0
samp_29	-6.644904814134446	3.842407734944948	0.036155945814116706		0.0	-10.018250560443228	1.0	-9.061004414339543	1.0		0.0	-5.019334060246682	1.0		0.0	-3.0914087048271828	1.0	-4.878562638865499	2.0	-0.05658682159967461	2.0	-4.063678086190137	1.0		0.0		0.0	-6.414168202492644	1.0	-5.797537091072099	1.0	-5.377249913161497	1.0	-11.324452740061218	3.0		0.0	-1.5864726818033312	1.0	-7.978046109768201	3.0		0.0	-8.566061221600538	2.0	-10.985337376668951	1.0	-7.567422517963471	1.0
samp_30	-7.47576434087986	3.7141674314588022	0.04427464425974158	-4.562089833402251	2.0		0.0	-8.820853224844784	1.0		0.0		0.0		0.0	-3.0842987873769636	2.0	-4.830588080897454	1.0	-0.05619938585999062	2.0	-4.030439660333793	2.0		0.0	-4.027111287222395	1.0		0.0	-5.735916549477405	1.0	-5.321694960545215	1.0	-10.915272390810365	1.0	-3.8213992593662067	2.0	-1.5881820814349303	3.0		0.0		0.0		0.0	-10.753858350600641	3.0	-7.424666530601675	1.0
samp_31	-6.912991466214501	3.996319636101793	0.009121288504888051		0.0	-10.005650063912	1.0	-9.09234359793698	1.0	-5.196090236959909	1.0	-5.0623553525271605	2.0		0.0	-3.0894359043594632	1.0	-4.919693942210537	1.0	-0.05559649177774262	1.0	-4.089415432576768	1.0		0.0	-4.07986644426309	1.0	-6.468402484375118	1.0	-5.848725570146132	1.0	-5.425649345416478	1.0	-11.373284348072117	3.0	-3.8809247764987846	2.0	-1.5817905856009709	2.0		0.0		0.0		0.0	-11.058345780631097	3.0		0.0
samp_32	-6.900314046608181	4.2819376788662655	-0.14810377592165552	-4.639885997283023	3.0		0.0		0.0		0.0	-5.087111364887559	2.0	-2.389677174882839	1.0	-3.054894942073164	3.0	-4.940957379629883	2.0		0.0		0.0		0.0	-4.068839309695775	1.0		0.0	-5.892134391506712	1.0		0.0	-11.50716037370906	2.0	-3.886322468874832	2.0		0.0	-8.102315179426645	1.0	-4.018149264283586	2.0	-8.697417057460775	2.0	-11.172554362773523	1.0		0.0
samp_33	-6.869433102962555	3.390488835092115	0.33069306731797377	-4.588590673174724	1.0		0.0	-8.897111349835932	1.0		0.0	-4.979395629938225	3.0	-2.4634422549271586	1.0		0.0		0.0		0.0	-4.062892989008138	1.0	-2.6289487648156737	1.0		0.0	-6.34009426005855	1.0	-5.7362740666813945	1.0	-5.324344975812513	1.0	-11.101605470694764	3.0	-3.8471183359136316	1.0		0.0	-7.870307727450052	1.0	-4.009968757675981	2.0	-8.442685886709478	2.0	-10.822419707927349	1.0	-7.455482981851851	2.0
samp_34	-5.536848104856963	4.180483545937526	-0.04331487863335517	-4.6799533132671876	2.0		0.0	-9.539329151889937	1.0		0.0		0.0	-2.4055078024023713	1.0	-3.0842480056124084	1.0	-4.976180823907135	2.0	-0.05433088212986983	1.0	-4.117849776884378	1.0		0.0	-4.1040158175805805	2.0	-6.598963727403589	1.0		0.0	-5.500693798344346	3.0		0.0	-3.909409103214941	3.0	-1.57649692585268	3.0	-8.308120158177244	1.0		0.0		0.0		0.0	-8.068168257237122	1.0
samp_35	-6.557830272352385	4.017597832593974	0.044772919352334226		0.0	-10.271062353948773	1.0	-9.230147833539586	1.0	-5.22534836619904	2.0	-5.0904168319713055	1.0		0.0		0.0		0.0	-0.05823609178998084	2.0	-4.110645362655456	3.0		0.0	-4.101084063978816	1.0		0.0	-5.88200756833875	1.0	-5.455671311752227	1.0		0.0	-3.9004037512100993	2.0	-1.586059607783278	2.0	-8.099215154736859	4.0		0.0	-8.701405714820947	1.0	-11.155154490307408	1.0		0.0
samp_36	-6.135037044532867	4.090237323232126	-0.01213676960339247	-4.659645883691293	1.0	-10.471836300593957	1.0		0.0	-5.230219188832286	1.0	-5.094213812125816	2.0	-2.4067529239963252	1.0		0.0		0.0	-0.055006458458837	2.0		0.0		0.0	-4.09385810998622	5.0	-6.529603563637028	2.0	-5.895072926833668	1.0	-5.463520866058109	1.0	-11.66930278186739	1.0	-3.8970730106940654	1.0	-1.57933324494603	1.0	-8.166817618770306	1.0	-4.040018346750514	1.0	-8.779485587931978	1.0		0.0		0.0
