run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-18.847296807680802	-2.318989814780301	1.0	-0.9746686513257249	1.0	-4.297473042463174	1.0	-4.950842660032898	1.0	-1.9544705105519462	1.0	-2.5415598929757914	1.0	-1.0160491870959076	1.0	-4.704072585030351	1.0
samp_00	-19.17509641671021	-2.3189854308060007	2.0	-0.9746883433186093	1.0	-4.297447054399372	1.0		0.0	-1.9544973500789176	1.0		0.0	-1.01607129866013	3.0		0.0
samp_01	-16.88216754020465		0.0		0.0		0.0	-4.950835827832023	1.0	-1.9544693380378535	2.0	-2.5415335578422673	1.0	-1.0160824121746823	1.0	-4.704114501901946	3.0
samp_02	-17.406865091831538	-2.318988077890288	2.0		0.0	-4.29745541342034	2.0	-4.95089288516871	1.0	-1.9544974625251574	2.0		0.0	-1.0161003742464298	1.0		0.0
samp_03	-1.7984616989454605		0.0	-0.8917186713247248	1.0	-4.220782140375324	1.0	-4.873509635081913	2.0	-1.8738797086180377	2.0	-2.463318023336366	1.0	-0.9318483442779468	1.0		0.0
samp_04	-1.8622939917476062	-2.2448656130484075	1.0	-0.8965996981349509	1.0		0.0	-4.877955145493755	2.0	-1.8785869005890767	1.0	-2.4678540905715294	2.0		0.0	-4.632146759561454	1.0
samp_05	-1.3593183866959746	-2.2009748552615136	1.0	-0.8490573198174556	2.0		0.0	-4.8355230066141575	2.0		0.0		0.0	-0.888621693364375	2.0	-4.59020928492506	1.0
samp_06	-20.183218637674884	-2.3189860108516305	1.0	-0.9746889240257883	3.0		0.0		0.0		0.0	-2.541549647400216	2.0	-1.0160682167262607	1.0	-4.704111893341639	1.0
samp_07	-16.89979346798704	-2.319001979638715	1.0	-0.9747305473797497	1.0		0.0	-4.950766434117213	1.0	-1.9544528829328192	1.0	-2.541588405856569	1.0	-1.015993096933328	2.0	-4.704194670119039	1.0
samp_08	-19.038837610816344	-2.3189554843471734	2.0	-0.9746860220380165	2.0		0.0	-4.950844615915569	1.0	-1.9545187009980418	1.0		0.0		0.0	-4.704130310067976	2.0
samp_09	-19.03103239308111	-2.3189844834916857	1.0	-0.9746895010203638	2.0	-4.297446012640421	1.0	-4.950870284148741	1.0		0.0		0.0	-1.016079849233627	1.0	-4.704113626545956	2.0
samp_10	-18.40175983518148		0.0	-0.974713131175906	1.0	-4.2974592160762315	2.0	-4.9508744890733265	1.0	-1.9545111817205638	1.0	-2.5415542971312717	2.0		0.0	-4.704134951733704	1.0
samp_11	-17.671131361146603	-2.3190115607121444	1.0		0.0	-4.297412966719255	2.0		0.0	-1.9545514949000657	2.0		0.0	-1.0160354828540588	1.0	-4.704103671830896	2.0
samp_12	-18.841199119892348	-2.318985405764637	1.0	-0.9746888661377148	3.0	-4.297444456436319	1.0	-4.950871300343455	1.0		0.0	-2.541549555654346	1.0		0.0	-4.7041125588317945	1.0
samp_13	-16.425077043253467	-2.318983088098134	1.0	-0.9746871704269477	1.0	-4.297445881436067	1.0	-4.9508711860600645	1.0	-1.9544986695037467	1.0		0.0	-1.016068314238436	1.0	-4.704114579026478	2.0
samp_14	-16.7974843347589	-2.318985764580587	1.0	-0.974692817807528	1.0	-4.297447768564262	2.0	-4.950871865062005	1.0	-1.9544991282160724	1.0	-2.5415444929514592	1.0		0.0	-4.7041073243122575	1.0
samp_15	-17.72461960620441	-2.3189468046616186	1.0	-0.9746915223612564	1.0	-4.29748380513625	1.0	-4.950825458092253	1.0	-1.9545028531027253	1.0	-2.541597678382744	2.0	-1.01607896451232	1.0		0.0
samp_16	-0.5805836141695799	-2.086278722603804	1.0	-0.7200762990005298	1.0	-4.074932289381045	1.0	-4.727116852534629	3.0		0.0		0.0	-0.758093028995228	1.0	-4.482951667523571	1.0
samp_17	-18.15566374718426	-2.318984697220531	2.0	-0.9747039648975038	2.0	-4.297445415249625	2.0		0.0	-1.9544998218600365	1.0	-2.5415443742568673	1.0		0.0		0.0
samp_18	-19.67007679808384	-2.3189986480542233	1.0		0.0	-4.297447369956846	1.0		0.0	-1.9545109192351844	2.0		0.0	-1.0160713497686775	1.0	-4.704112918056365	3.0
samp_19	-19.7611815222216	-2.318984800594323	2.0		0.0	-4.297444325136365	1.0		0.0	-1.9545021557582967	1.0	-2.5415507020197396	2.0		0.0	-4.704113190554133	2.0
samp_20	-19.048249283211025	-2.318884399819827	2.0	-0.9746941844418657	1.0	-4.297348242040612	1.0	-4.950942717691775	1.0	-1.9544438006270763	1.0		0.0	-1.0160958712617012	2.0		0.0
samp_21	-16.363441774203938	-2.3189857759649235	1.0	-0.9746818410736922	2.0	-4.297454228861616	1.0	-4.9508573548279395	1.0		0.0	-2.541531598943085	2.0	-1.0160723887344931	1.0		0.0
samp_22	-17.943499542632047	-2.318948230249233	1.0	-0.9746328623407028	1.0	-4.297412427603748	1.0		0.0	-1.9545251786991331	2.0	-2.541605296504648	1.0	-1.0160612728115004	2.0		0.0
samp_23	-0.18897323635177699		0.0		0.0		0.0	-4.64769996588969	4.0	-1.6237007822448528	1.0	-2.22602169520615	1.0		0.0	-4.404255607315165	2.0
samp_24	-2.47253487586444		0.0		0.0	-4.256916520965728	1.0	-4.909936318562589	2.0	-1.9121496792758315	2.0	-2.5003428599028563	2.0		0.0	-4.663719192238577	1.0
samp_25	-17.580701829363793	-2.3190184584698708	2.0	-0.9746491618265964	1.0	-4.297421298040185	1.0		0.0	-1.9545030225072115	1.0	-2.5416516350589204	1.0	-1.0161057898011532	2.0		0.0
