run	log_tbg	log_alphap	log_betap	b14A8_log_P	b14A8_weight	b14A9_log_P	b14A9_weight	b14B1_log_P	b14B1_weight	b14B2_log_P	b14B2_weight	b14B3_log_P	b14B3_weight	b14B4_log_P	b14B4_weight	b14B5_log_P	b14B5_weight	b14B6_log_P	b14B6_weight	b14B7_log_P	b14B7_weight	b14B8_log_P	b14B8_weight	b14B9_log_P	b14B9_weight	b14C1_log_P	b14C1_weight	b14C2_log_P	b14C2_weight	b14C3_log_P	b14C3_weight	b14C4_log_P	b14C4_weight	b14C5_log_P	b14C5_weight	b14C6_log_P	b14C6_weight	b14C7_log_P	b14C7_weight	b14C8_log_P	b14C8_weight	b3E5_log_P	b3E5_weight
fit	-5.88212678311026	4.526284443505836	-0.09126642624226057	-10.354545572891158	1.0	-12.299003051461973	1.0	-5.956748901579205	1.0	-11.032095127579574	1.0	-10.168721416103242	1.0	-5.382718790143231	1.0	-11.13536711897223	1.0	-6.387610607582899	1.0	-7.219880442415202	1.0	-3.5180550202758023	1.0	-11.804799581252444	1.0	-9.9822803324948	1.0	-3.45174406171127	1.0	-5.758941289616905	1.0	-9.161597185649638	1.0	-3.6654835779809756	1.0	-5.377267655484199	1.0	-5.201227832894078	1.0	-5.115598549358268	1.0	-4.498076424144537	1.0
samp_00	-5.937113794846699	4.746571773833549	-0.1750886592415608		0.0	-12.407217735538179	1.0	-6.003985905022325	1.0		0.0	-10.290259016962246	3.0	-5.413747918609959	1.0	-11.256859827054827	1.0	-6.442474608846814	3.0		0.0		0.0		0.0	-10.099984313476076	2.0	-3.446608569695542	1.0		0.0		0.0	-3.653871560263183	2.0	-5.409599359717577	1.0	-5.226716239635979	1.0	-5.141476120788011	1.0	-4.508373261357199	2.0
samp_01	-5.893261755685133	4.6596049394670755	-0.12594952068225043		0.0	-12.39148167858539	3.0		0.0		0.0		0.0	-5.410818518508129	1.0	-11.22912019358981	1.0	-6.431452780419431	3.0		0.0	-3.5157372586803524	1.0	-11.900324517202248	2.0	-10.07264475412078	2.0	-3.452458381859314	3.0		0.0	-9.247930762193768	1.0	-3.6630292510985307	1.0	-5.406024184231353	1.0		0.0	-5.139986363420547	1.0		0.0
samp_02	-5.955798191996883	4.712568248047444	-0.20950672159859313		0.0	-12.329773606221547	2.0	-5.971250537752379	1.0	-11.083082800967547	2.0		0.0		0.0		0.0		0.0	-7.243678665769472	1.0		0.0	-11.847405147489889	1.0	-10.031495181547783	2.0		0.0	-5.767041246779044	2.0		0.0	-3.6432071458521427	4.0	-5.381405850600135	2.0		0.0	-5.115642708654029	1.0	-4.4887359548831105	2.0
samp_03	-5.847141580753666	4.543296121052081	-0.12399858094600483	-10.347245667788696	1.0		0.0		0.0		0.0	-10.160891330918382	2.0		0.0	-11.127694770136888	1.0		0.0	-7.213745436762618	1.0		0.0	-11.801968114521372	1.0	-9.973951095630355	2.0		0.0	-5.749911537317922	1.0	-9.156338495028036	2.0	-3.657232729549085	3.0	-5.368079160648503	2.0	-5.191673945428215	1.0		0.0	-4.4889770740494805	3.0
samp_04	-5.845941875323188	4.408926278030735	-0.08398132950938444	-10.252685286885301	2.0		0.0		0.0	-10.932949220961175	1.0	-10.069988674294773	1.0		0.0	-11.036564657352285	1.0	-6.336948701110694	1.0	-7.160366802706465	1.0	-3.5127664136956462	1.0		0.0		0.0	-3.4442257812922974	2.0	-5.716403267972208	3.0	-9.07297016326528	2.0	-3.65945893904605	3.0		0.0		0.0	-5.081580772094149	1.0	-4.474712255589575	1.0
samp_05	-6.048564403242108	4.6127351596989365	-0.11018848478533048		0.0		0.0		0.0	-11.063568463492235	1.0	-10.196420986859975	1.0	-5.398919208624272	1.0	-11.166014564508968	4.0		0.0		0.0	-3.5166132815434095	1.0		0.0		0.0		0.0	-5.77725572043931	1.0	-9.175691781136697	1.0	-3.6639299990046523	1.0	-5.3940457573357055	2.0	-5.21557017438454	1.0	-5.130233850280982	3.0	-4.50658748651932	3.0
samp_06	-5.742229942278663	4.823789136588924	-0.2558436687075492	-10.520694971250839	1.0	-12.511723168685222	2.0	-6.001988421804572	2.0		0.0		0.0		0.0		0.0	-6.446342397812893	2.0		0.0	-3.49428314448069	1.0	-11.992425827434033	1.0		0.0		0.0	-5.793270730409935	1.0	-9.317571433010817	3.0	-3.6390725562231263	3.0	-5.400886735788908	1.0	-5.215535327666148	2.0		0.0	-4.494861823540066	1.0
samp_07	-5.973704214752727	4.593732505719303	-0.13683388342945565	-10.353017886455666	1.0	-12.275092124768504	2.0	-5.958556971955578	2.0	-11.034208617835134	1.0	-10.169226646938576	1.0	-5.3811903104022125	1.0	-11.13696964339266	3.0	-6.389726592816094	1.0	-7.2185893466153885	1.0		0.0		0.0		0.0	-3.4449769191498474	1.0	-5.758568798509416	1.0		0.0	-3.6558501343518084	2.0	-5.3762821190924885	1.0	-5.198528577857351	1.0	-5.113462404267413	1.0		0.0
samp_08	-5.836467391337972	4.638214328207122	-0.10248508504738452	-10.467501817763905	1.0		0.0	-6.000835576418139	1.0		0.0		0.0	-5.416965845741918	3.0	-11.243289003149439	1.0	-6.4378747469494515	2.0		0.0	-3.5210532710661226	1.0	-11.923268353279202	1.0	-10.084941529760174	2.0	-3.456953923816857	1.0		0.0	-9.265292051608562	2.0		0.0		0.0	-5.232039927169204	1.0	-5.145875512153114	3.0	-4.517432936627883	1.0
samp_09	-5.84746260818347	4.362658714594341	0.004323640888644412	-10.294823148192263	1.0		0.0		0.0	-10.973472470802845	1.0		0.0		0.0	-11.077036682641609	1.0	-6.36285643948088	1.0	-7.188479020949675	2.0		0.0	-11.749221564829194	3.0	-9.92580961793502	2.0	-3.4647524229754127	2.0	-5.743385571610685	1.0	-9.110555157421118	1.0	-3.6842638169736572	1.0	-5.36579556966715	1.0		0.0	-5.108104212823747	3.0		0.0
samp_10	-5.849829067508546	4.500325705371964	-0.05907913568923974		0.0	-12.322641525413266	1.0	-5.963605998264752	1.0	-11.04501866061367	1.0	-10.181857513091584	1.0	-5.390450712465799	2.0	-11.148528028166165	1.0		0.0	-7.2293817466929795	1.0		0.0	-11.823119861610003	3.0	-9.994167284027554	1.0	-3.45828770250206	1.0		0.0	-9.17600555614323	2.0	-3.673740406154052	1.0	-5.384743892437836	1.0	-5.20924036098603	1.0	-5.123225949773841	2.0		0.0
