run	log_tbg	log_alphap	log_betap	b9D1_log_P	b9D1_weight	b9D2_log_P	b9D2_weight	b9D3_log_P	b9D3_weight	b9D4_log_P	b9D4_weight	b9D6_log_P	b9D6_weight	b9D8_log_P	b9D8_weight	b9D9_log_P	b9D9_weight	b9E1_log_P	b9E1_weight	b9E2_log_P	b9E2_weight	b9E3_log_P	b9E3_weight	b18A8_log_P	b18A8_weight	b18A9_log_P	b18A9_weight	b18B2_log_P	b18B2_weight	b18B5_log_P	b18B5_weight	b18B6_log_P	b18B6_weight	b18B7_log_P	b18B7_weight	b18B8_log_P	b18B8_weight	b18C1_log_P	b18C1_weight	b18C6_log_P	b18C6_weight	b18C7_log_P	b18C7_weight
samp_87	-22.394193582378794	1.5249856212783794	-0.06823893118153948		0.0	-6.992015285087148	1.0	-1.5116292940236167	2.0	-7.918582681521588	2.0	-7.9199648173699195	1.0	-5.584660171515607	1.0	-9.406968125584294	2.0		0.0		0.0	-8.334729689039072	2.0	-2.3187566715099335	2.0		0.0		0.0	-6.007859685267012	2.0	-7.156657134199694	1.0		0.0		0.0	-3.925794470444465	2.0	-6.334286756029321	1.0	-5.7789000596919715	1.0
samp_88	-22.83532048395769	1.8730735015840392	-0.39704165897265886	-6.526922978446671	1.0		0.0	-1.4442108875608155	1.0	-7.927931506356454	1.0	-7.929178747970058	2.0		0.0	-9.416584720482385	2.0	-9.01676741061579	1.0	-8.361748239975961	1.0	-8.344224246045584	2.0	-2.2539425836448297	3.0		0.0	-6.7720601505135765	1.0		0.0	-7.165896545923233	1.0	-4.555351014071486	1.0	-4.368602346901614	1.0	-3.916641505149135	1.0	-6.341598938975688	1.0		0.0
samp_89	-21.90806144450549	1.6093672029733275	-0.12561126856175447	-6.531988791171531	1.0	-7.0053407328342265	1.0	-1.506105861483346	1.0	-7.93201676211672	1.0	-7.93334527558026	1.0	-5.597479124428986	1.0		0.0		0.0	-8.36573466564562	1.0	-8.348188631165064	3.0		0.0	-3.3015121762696644	1.0	-6.776927776008397	1.0	-6.020802428397691	1.0	-7.170059471966868	2.0	-4.568070718298232	1.0	-4.382757058692575	2.0		0.0		0.0	-5.791723614716997	2.0
samp_90	-21.902163053393526	3.544658836413085	-1.9133161357485051	-6.583008901869899	2.0	-7.0666857686985	3.0		0.0		0.0		0.0	-5.622100161749014	3.0		0.0		0.0		0.0		0.0		0.0	-3.002135111051368	1.0	-6.831801337913598	1.0	-6.051939454267157	1.0	-7.237145807960693	4.0	-4.489499941808808	1.0	-4.2852937027064195	1.0	-3.786983478904514	1.0	-6.386241521755993	1.0	-5.814777509411051	1.0
samp_91	-21.898928580971642	2.882749124088209	-1.4581473698617722		0.0	-6.97031255386365	2.0		0.0	-7.900417523751436	1.0	-7.901170363186665	1.0	-5.545976322795793	2.0	-9.39043000075498	1.0		0.0		0.0		0.0		0.0	-3.0590919228006554	1.0	-6.738892117555329	3.0	-5.971985562187937	1.0	-7.1377426025160124	1.0	-4.467064475426029	2.0		0.0	-3.793779645108076	3.0	-6.301939910185403	1.0	-5.739279108094429	1.0
samp_92	-23.163504551133794	1.0284048583210383	0.32675805314386913	-6.4693444598081165	1.0	-6.94192680181477	2.0	-1.5653310127496984	1.0		0.0		0.0		0.0	-9.356227426149887	2.0		0.0	-8.30165012457781	2.0	-8.284119875336659	1.0		0.0		0.0	-6.714002369327607	2.0	-5.959607003823209	1.0		0.0	-4.516014076244696	1.0	-4.332759145994809	2.0		0.0		0.0	-5.731142404117643	5.0
samp_93	-22.661804003378485	1.2226032793930168	0.02927665931234317	-6.4171326291084725	2.0		0.0	-1.4661087215557054	1.0	-7.816310329424991	2.0	-7.817703257751897	1.0		0.0	-9.304588792296514	1.0		0.0	-8.24993006161024	1.0		0.0		0.0	-3.214525273302246	3.0		0.0	-5.906892474701517	2.0	-7.054416243928004	1.0	-4.46018108271515	1.0	-4.2762111623303385	1.0	-3.8334507736677335	1.0	-6.233056770563987	3.0		0.0
samp_94	-21.050767032200117	1.8393638311537275	-0.3319261028032462	-6.542830020515284	2.0	-7.016643603232277	2.0	-1.4659414220689089	1.0	-7.943658796327487	2.0		0.0		0.0		0.0		0.0	-8.37745707736232	2.0	-8.359906401631388	1.0	-2.2780379724101323	1.0	-3.2873293709337963	1.0	-6.787937968680016	2.0	-6.030751747772415	2.0	-7.181618363828092	2.0	-4.572535757833762	1.0		0.0	-3.9347720254028413	1.0		0.0		0.0
samp_95	-23.807145525854562	1.6826601320735182	-0.1751867070462068		0.0		0.0	-1.501165305635886	1.0	-7.943822430288724	2.0		0.0	-5.6087162409861575	1.0	-9.432291257262264	1.0	-9.032517290878573	2.0	-8.37756179837988	2.0	-8.360019486663154	1.0	-2.31331799065452	1.0		0.0		0.0	-6.032134209728826	1.0	-7.181847300557686	2.0	-4.577864036727093	1.0		0.0		0.0	-6.358770644195565	1.0	-5.80295217595912	4.0
samp_96	-22.403057191490603	1.3510773513159153	0.09238793008433759	-6.512704219020664	1.0	-6.985663663557806	2.0	-1.5448358931329857	2.0	-7.912048020773287	2.0	-7.913415904697753	1.0	-5.579269422840734	2.0	-9.40034237218201	1.0		0.0		0.0		0.0	-2.343886275935433	1.0		0.0		0.0	-6.002286195406328	1.0	-7.15017060994613	2.0		0.0	-4.370124792738969	1.0	-3.926445075315702	1.0	-6.328518276904271	2.0	-5.7735353037102515	1.0
samp_97	-23.01180001804489	1.4643397103983513	-0.13891263950295413	-6.453228407859586	2.0	-6.926403180713897	1.0	-1.4555098261204094	1.0		0.0	-7.854281203563972	2.0		0.0	-9.34130454247315	1.0	-8.941543136241433	1.0	-8.286627473964375	2.0		0.0	-2.259534380649202	1.0	-3.232975539959768	2.0	-6.698091536048954	1.0	-5.942379061108721	1.0		0.0		0.0		0.0	-3.8615383232267786	3.0		0.0	-5.713459996024222	2.0
samp_98	-23.21745280668856	1.352481577900107	0.020006741372092574		0.0	-6.950151630551402	2.0	-1.5053698269824187	1.0	-7.876552598980117	2.0	-7.877908925610499	1.0	-5.543648768194068	1.0	-9.364850459505856	1.0	-8.965100561968148	1.0	-8.310202482132686	1.0	-8.292660174111818	1.0	-2.305029669603862	1.0		0.0	-6.7219560505932385	2.0		0.0		0.0		0.0	-4.334100415467661	2.0	-3.890176507689424	1.0	-6.292923946425049	2.0	-5.73790272695069	1.0
samp_99	-24.024662225477083	1.3212237141135588	-0.011306623873254904		0.0		0.0	-1.47774249675472	1.0	-7.845284144452971	1.0	-7.846649451711047	1.0	-5.512469873516384	3.0	-9.33357996806926	1.0	-8.933831887043924	1.0		0.0	-8.261395611869291	1.0	-2.2763698921438533	2.0		0.0		0.0	-5.935468025690168	3.0	-7.08341601433796	1.0	-4.487460886453821	1.0	-4.303204855123751	1.0		0.0	-6.2617060317845405	3.0		0.0
